grace_sku,status,detail,measured
LBSlm30LtnClOvrCap,PASS,"glb/Slm-boxy-18-415-87x30x30.glb [boxy, from LBSlm30LtnClOvrCap.png, 13536 faces]",height_mm=87.0 width_mm=30.0 depth_mm=30.0
GBSqr15RollBlkSh,PASS,"glb/Sqr-boxy-13-415-52x26x26.glb [boxy, from GBSqr15RollBlkSh.png, 13536 faces]",height_mm=52.0 width_mm=26.0 depth_mm=26.0
GBTRDPClear,SKIP,shape unknown - catalogue publishes a width but no depth and no diameter; needs one caliper reading,
GBTallCyl9RollBlkSh,PASS,"glb/TallCyl-round-13-415-106x18.glb [round, from GBTallCyl9RollBlkSh.png, 13536 faces]",height_mm=106.0 diameter_mm=18.0
GBTallRect10RollBlkSh,PASS,"glb/TallRect-boxy-13-415-101x17x17.glb [boxy, from GBTallRect10RollBlkSh.png, 13536 faces]",height_mm=101.0 width_mm=17.0 depth_mm=17.0
GBTulipAmb5RollBlkSh,PASS,"glb/Tulip-round-13-415-45x23.glb [round, from GBTulipAmb5RollBlkSh.png, 13536 faces]",height_mm=45.0 diameter_mm=23.0
GBVAmb1o5WhtCapSht,PASS,"glb/V-round-13-425-22x16.glb [round, from GBVAmb1o5WhtCapSht.png, 13536 faces]",height_mm=22.0 diameter_mm=16.0
GBVBlu1DrmBlackCapSht,PASS,"glb/V-round-13-425-45x15.glb [round, from GBVBlu1DrmBlackCapSht.png, 13536 faces]",height_mm=45.0 diameter_mm=15.0
GBVClr2mlBlackCap,PASS,"glb/V-round-8-425-35x12.glb [round, from GBVClr2mlBlackCap.png, 13536 faces]",height_mm=35.0 diameter_mm=12.0
PB1ozClearcap,SKIP,shape unknown - catalogue publishes a width but no depth and no diameter; needs one caliper reading,
CJFrstdPlsBlkPls2oz,PASS,"glb/dPlsBlkPls-round-na-51x59.glb [round, from CJFrstdPlsBlkPls2oz.png, 13536 faces]",height_mm=51.0 diameter_mm=59.0
