grace_sku,body_id,neck_finish,shape
GBCyl50MtlRollBlk,Cyl-round-na-98x37,,round
GBCyl50MtlRollWht,Cyl-round-na-98x37,,round
GBCyl50RollBlk,Cyl-round-na-98x37,,round
GBCyl50RollWht,Cyl-round-na-98x37,,round
GBDmnd2ozAnSpBlk,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpTslBlk,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpGl,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpTslGl,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpIvyGl,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpIvySl,Dmnd-unknown-18-415-88x41,18-415,sculpted
GBDmnd2ozAnSpTslIvyGl,Dmnd-unknown-18-415-88x41,18-415,sculpted
