grace_sku,body_id,neck_finish,shape
LBCrcl50LtnMtSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50SpryMtSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpMtSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpTslMtSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpPnk,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpTslPnk,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpRed,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpTslRed,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrBlkLthr,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrShnBlk,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrBrwnLthr,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrIvyLthr,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrLBrwnLthr,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrPnkLthr,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrShnGl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrShnSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrMtSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrShnBlkTall,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrMtSlTall,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50RdcrWht,Cr-boxy-18-415-87x72x23,18-415,boxy
LBCrcl50LtnShnBlk,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50SpryShnBlk,Cr-boxy-18-415-87x72x23,18-415,boxy
LBCrcl50LtnShnGl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50SpryShnGl,Cr-boxy-18-415-87x72x23,18-415,boxy
LBCrcl50LtnShnSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50SpryShnSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50DrpCu,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50DrpGl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50DrpSl,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpWht,Cr-boxy-18-415-87x72x23,18-415,boxy
GBCrcl50AnSpTslWht,Cr-boxy-18-415-87x72x23,18-415,boxy
LBCrclFrst50LtnClOvrCap,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnCu,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnMtGl,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnMtSl,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnShnBlk,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnShnGl,Cr-round-18-415-87x72x23,18-415,round
LBCrclFrst50LtnShnSl,Cr-round-18-415-87x72x23,18-415,round
GBCrclFrst50RdcrIvyLthr,Cr-boxy-18-400-87x72x23,18-400,boxy
CJClr3,Clr-round-na-22x33,,round
GBCyl100AnSpBlk,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslBlk,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnClOvrCap,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpIvyGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpIvySl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslIvyGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslIvySl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpLvn,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslLvn,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnCu,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryCu,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnMtGl,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryMtGl,Cyl-round-18-415-154x35,18-415,round
LBCyl100LtnMtSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100SpryMtSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpMtSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslMtSl,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpPnk,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslPnk,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpRed,Cyl-round-18-415-154x35,18-415,round
GBCyl100AnSpTslRed,Cyl-round-18-415-154x35,18-415,round
