sku,url,neck,family,glass,capacityMl,sha256,hasPurchase,stockUnavailable,error
GBTallRect10Sl,https://www.bestbottles.com/product/tall-rectangular-design-10-ml-glass-bottle-shiny-silver-cap,13-415,,Clear,10,464a9ae361d688baf9b3dc447ef30ec29decd400b371810e32844bc218de8a0f,True,False,
GBSlk30DrpGl,https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Clear,30,22bb3062dd6f1a817ac2efeab5df5d72c8972a7bed65b6b6bf3eef91b70c5199,True,False,
GBDmnd2ozAnSpTslRed,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-red-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,60,a191b35d9470e712a2ec35f96562124f48cba6743dd4bc8896b283299b9d937c,True,False,
GBElgFrst100RdcrShnBlkTall,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-tall-black-shiny-cap,18-415,,Frosted,100,ae6d18a242b7ae69aa011c465a848518a9d3ec075bab8b6b1dd1e5cddeb2c214,True,False,
GBSlk30SpryCu,https://www.bestbottles.com/product/sleek-design-30-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,30,a07c36fc4f20fc263ec642840b879974cc11f614bb3d4467a2f3a42e11da0a8b,True,False,
GBTallRect10WhtSht,https://www.bestbottles.com/product/tall-rectangular-design-10-ml-glass-bottle-short-white-cap,13-415,,Clear,10,7ba10a152b6f72c3f47c10c449d28465b22b1f49448aaefbbb4b98781b3fbb29,True,False,
GBSlm30DrpSl,https://www.bestbottles.com/product/slim-design-30-ml-glass-bottle-white-dropper-shiny-silver-collar-cap,18-415,,Clear,30,a1dd9d3fe1232a8c80906121dfcaff22fbbbd2405cca63e6562f071217eaecfb,True,False,
GBGrce55SpryMtSl,https://www.bestbottles.com/product/grace-design-55-ml-glass-bottle-matte-silver-spray-pump-and-capsilver-matte-cap,18-415,,Clear,55,6a33a8a55ef75c3e9dbb9d51ec744c4372d9e8c41ebfb274eb7070b559d84c44,True,False,
GBDmnd2ozAnSpTslWht,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-white-vintage-style-sprayer-with-tassel-shiny-silver-collar,18-415,,Clear,60,a7e17f5593c7cc03af9398e558ff79b5a4d3cb3c2574343fe069bb460b497581,True,False,
GBElgFrst100RdcrBrwnLthr,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-brown-faux-leather-cap,18-415,,Frosted,100,87ef1d2afb401e3e23f30f7d48f9e037ce3bf0a76beb326b84061537ccabdf6f,True,False,
GBSlm30SpryCu,https://www.bestbottles.com/product/slim-design-30-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,30,8000e652a63baed31c9dd85ade41f419a9d75593c3eb835a5b9f34ec93703c5e,True,False,
GBSlm30DrpGl,https://www.bestbottles.com/product/slim-design-30-ml-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Clear,30,97e82ab6b1a8a3f7d978f744e76f60f5b7f519b57519b2bf9b397a695e842988,True,False,
GBGrce55SpryShnSl,https://www.bestbottles.com/product/grace-design-55-ml-glass-bottle-shiny-silver-spray-and-capshiny-silver-cap,18-415,,Clear,55,28292433039025b4ebf1ee77e41fa4d0adca8dd4889bcba8dab01b39048bc821,True,False,
GBDmnd2ozAnSpTslMtSl,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-matte-silver-vintage-style-sprayer-with-tassel-matte-silver-collar,18-415,,Clear,60,f47f7544399dff413b8cc3c48c6be1ab15ecef039ddbb4521692a212367f4c5d,True,False,
GBElgFrst100RdcrLBrwnLthr,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-light-brown-faux-leather-cap,18-415,,Frosted,100,f75dc06a96b7c791fdbf614d69a212c1365160d30aafac0b098cfc1459370142,True,False,
GBDiva46SpryCu,https://www.bestbottles.com/product/diva-design-46-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,46,40d2a1c828fd6af1643bc12c34b773824325d2a19acb3f0eaf4c0dc82a7c6fb9,True,False,
GBDiva46DrpSl,https://www.bestbottles.com/product/diva-design-46-ml-glass-bottle-white-dropper-shiny-silver-collar-cap,18-415,,,46,c066ba1ab32b311856b3640ebca3a54c0e65d74fa803fac23e01e50ba338353f,True,False,
GBDmnd2ozSpryShnGl,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-shiny-gold-spray-pump-and-cap,18-415,,Clear,60,992925b4e317280aa95b31b367ef293de7938e7decc688371f404bdaa94edb27,True,False,
GBElg60AnSpLvn,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap,18-415,,Clear,60,21f8bd9e1f399ac7a7f275d414a02da93eb34b45c57746aeaeb6fb9f8d012d2e,True,True,
GBElgFrst100RdcrShnSl,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-shiny-silver-cap,18-415,,Frosted,100,c7d348ed2062dfca681099277521e3b69eec1b14b85bef0f87c3f457d6329e0f,True,False,
GBDivaFrst46SpryCu,https://www.bestbottles.com/product/diva-design-46-ml-frosted-glass-bottle-matte-copper-spray-and-cap,18-415,,Frosted,46,60a4f7eab8d647e37ec78fcb71aea6da4b7b1669bf68102018248c316888c8cc,True,False,
GBDiva46DrpGl,https://www.bestbottles.com/product/diva-design-46-ml-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Clear,46,1ad4fc973b8ad8e39e9d5701bb4fb430c0a83cb5f9c66bc51202a8e25e03d34f,True,False,
GBDmnd2ozSpryMtSl,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-matte-silver-spray-pump-and-capsilver-matte-cap,18-415,,Clear,60,852e6fe0151ec9b38fc6cdbddbc41466c8bee247c26abce59820e3e20261179e,True,False,
GBElg60AnSpPnk,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-pink-vintage-style-bulb-sprayer-shiny-gold-collar-cap,18-415,,Clear,60,582ba2c84ed8fafc493872c2c055b7480d6d86639b4e212244cfbdad0459fb07,True,False,
GBElgFrst100RdcrMtSlTall,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-reducer-tall-silver-matte-cap,18-415,,Frosted,100,26c079a7a14b14c510ceb7f4844ac96f58e359e1a0eeb2f6fad71955a6a4eb65,True,False,
GBCrcl50SpryCu,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-spray-and-cap,18-415,,Clear,50,768066567c7e22ed0cd17f0b5ee382c1cc7e889f6d3fc44d004edfb8c546cc98,True,False,
GBRoyal13Gl,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-shiny-gold-cap,13-415,,Clear,13,3910a22fc32c8feb2c3a9af56c4c726fb665ad917308d3de49739b4455568292,True,False,
GBCrcl50DrpSl,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-silver-collar-cap,18-415,,Clear,50,27c5f8847cedb96fd4da9bd9a1f53bf4c8b9576776bcf452a3ba5be7c50c4642,True,False,
GBDmnd2ozSpryMtGl,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-matte-gold-spray-pump-and-cap,18-415,,Clear,60,b5281d0451638712582cd573836f509eb1fd0ae6fbcb9bad422c9b8155b4298e,True,False,
GBElg60AnSpMtSl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap,18-415,,Clear,60,a2c04974268aee2772ccc7ad1d0f8540c25b1eaec64b8ab3babc1f41b31f645d,True,False,
GBCrclFrst50SpryCu,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-spray-and-cap,18-415,,Frosted,50,c97c9008cab4dc7d8d863484db3062d74a245806ac43371cb6230e42acffed63,True,False,
GBRoyal13Sl,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-shiny-silver-cap,13-415,,Clear,13,47ffcd6b840dc5a9c01c42635b865915b34a81bef97edc25cf699c876dbe60bf,True,False,
GBCrcl50DrpGl,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-white-dropper-shiny-gold-collar-cap,18-415,,Clear,50,a3d251572b9162f531b3fe2a91b8bfdd31d2f6687ac395a6c269e494dcf79a17,True,False,
GBDmnd2ozSpryShnBlk,https://www.bestbottles.com/product/diamond-design-2-oz-glass-bottle-shiny-black-spray-pump-and-capblack-shiny-cap,18-415,,Clear,60,c1785c10977d10e6674ac7f49ea3bb19aba187723b0be4e26b9d786313db67d5,True,False,
GBElg60AnSpIvySl,https://www.bestbottles.com/product/elegant-design-60-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap,18-415,,Clear,60,dfe94d5aaa36b7030352086667f51ce6a7ece1acba1fe114f3889f2f46f920fc,True,False,
GBEmp100RdcrShnGl,https://www.bestbottles.com/product/empire-design-100-ml-glass-bottle-reducer-shiny-gold-cap,18-415,,Clear,100,9804444d3700d1efd537d19b5b574be83e1295b85694c1b2b0d86def193e1ad8,True,False,
GBCyl50SpryCu,https://www.bestbottles.com/product/cylinder-design-50-ml-glass-bottle-matte-copper-spray-and-cap,18-415,Cylinder,Clear,50,7d1fd4c790b2f8c78ae85b89de367ad62cdbb74ab7b7b484c6e409c860d84ec1,True,False,
GBRoyal13WhtSht,https://www.bestbottles.com/product/royal-design-13-ml-glass-bottle-short-white-cap,13-415,,Clear,13,d99df647a5e81364b67e2821114be23e042d06b6cf3055f238b0049a43ca549f,True,False,
