sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentIfPublicationIgnored,componentSellableReason,assemblySellableReason,visibleIfStandalonePublicationIgnored,sourceUrl
"GBCrcl100RdcrShnBlkTall","Circle","100","Clear","18-415","Reducer","Shiny Black","false","assembly_unpublished_or_unsellable","CP18-415ShnBlkTall","CP18-415ShnBlkTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap"
"GBCrcl15RollPinkDot","Circle","15","Clear","13-415","Plastic Roller Ball","Pink Dotted","true","","CPRoll13-415PinkDot","CPRoll13-415PinkDot","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-pink-cap-with-dots"
"GBCrcl100RdcrShnBlk","Circle","100","Clear","18-415","Reducer","Shiny Black","false","exact_component_unresolved | assembly_unpublished_or_unsellable","","","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-black-shiny-cap"
"GBCrcl15RollSlDot","Circle","15","Clear","13-415","Plastic Roller Ball","Silver Dotted","true","","CPRoll13-415SlDot","CPRoll13-415SlDot","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-silver-cap-with-dots"
"GBCrcl100RdcrBrwnLthr","Circle","100","Clear","18-415","Reducer","Clear","false","assembly_unpublished_or_unsellable","CP18-415BrwnLthr","CP18-415BrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap"
"GBCrcl15RollSlMatt","Circle","15","Clear","13-415","Plastic Roller Ball","Matte Silver","true","","CPRoll13-415SlMt","CPRoll13-415SlMt","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-silver-cap"
"GBCrcl15RollSlSh","Circle","15","Clear","13-415","Plastic Roller Ball","Shiny Silver","true","","CPRoll13-415SlSh","CPRoll13-415SlSh","","","true","https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-shiny-silver-cap"
"GBCrcl100RdcrLBrwnLthr","Circle","100","Clear","18-415","Reducer","Clear","false","assembly_unpublished_or_unsellable","CP18-415LBrwnLthr","CP18-415LBrwnLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-light-brown-faux-leather-cap"
"GBCrcl100RdcrShnSl","Circle","100","Clear","18-415","Reducer","Shiny Silver","false","assembly_unpublished_or_unsellable","CP18-415ShnSl","CP18-415ShnSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-shiny-silver-cap"
"GBCrcl100RdcrMtSlTall","Circle","100","Clear","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSlTall","CP18-415MtSlTall","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap"
"GBCrcl100RdcrMtSl","Circle","100","Clear","18-415","Reducer","Matte Silver","false","assembly_unpublished_or_unsellable","CP18-415MtSl","CP18-415MtSl","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-silver-matte-cap"
"GBCrcl100RdcrWht","Circle","100","Clear","18-415","Reducer","White","false","assembly_unpublished_or_unsellable","CP18-415Wh","CP18-415Wh","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-white-cap"
"GBCrcl100RdcrIvyLthr","Circle","100","Clear","18-415","Reducer","Ivory","false","assembly_unpublished_or_unsellable","CP18-415LIvyLthr","CP18-415LIvyLthr","","STATUS_DRAFT+NOT_PUBLISHED","false","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCrclFrst100RdcrShnSl","Circle","100","Frosted","18-415","Reducer","Shiny Silver","true","","CP18-415ShnSl","CP18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-shiny-silver-cap"
"GBCrclFrst100RdcrShnGl","Circle","100","Frosted","18-415","Reducer","Shiny Gold","true","","CP18-415ShnGl","CP18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-shiny-gold-cap"
"GBCrclFrst100RdcrIvyLthr","Circle","100","Frosted","18-415","Reducer","Ivory","true","","CP18-415LIvyLthr","CP18-415LIvyLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-ivory-faux-leather-cap"
"GBCrclFrst100RdcrPnkLthr","Circle","100","Frosted","18-415","Reducer","Pink","true","","CP18-415LPnkLthr","CP18-415LPnkLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-pink-faux-leather-cap"
"GBCrclFrst100RdcrShnBlkTall","Circle","100","Frosted","18-415","Reducer","Shiny Black","true","","CP18-415ShnBlkTall","CP18-415ShnBlkTall","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-tall-black-shiny-cap"
"GBCrclFrst100RdcrShnBlk","Circle","100","Frosted","18-415","Reducer","Shiny Black","false","exact_component_unresolved","","","","","false","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-black-shiny-cap"
"GBCrclFrst100RdcrBrwnLthr","Circle","100","Frosted","18-415","Reducer","Frosted","true","","CP18-415BrwnLthr","CP18-415BrwnLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-brown-faux-leather-cap"
