graceSku,itemName,field,convex,master_v83
CMP-SPR-SLV-,Plastic Bottle with Silver Spray Top and Clear Cap. Capacity,family,Plastic Bottle,Sprayer
CMP-SPR-SLV-,Plastic Bottle with Silver Spray Top and Clear Cap. Capacity,category,Plastic Bottle,Other
GB-CYL-AMB-5ML-GLD-T,"Tulip design 5ml, 1/6 oz Amber glass bottle with shiny gold ",family,Tulip,Cylinder
GB-CYL-CLR-9ML-ROL-SSLV-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",capStyle,Tall,Roll-On
GB-CYL-AMB-5ML-MRL-PKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with metal rolle",family,Tulip,Cylinder
GB-ELG-CLR-15ML-SPR,Elegant 15 ml (0.51 oz) Clear Glass Bottle with Sprayer,dataGrade,B — no thread,B — no cap color; no thread
GB-VIA-CLR-13ML-GLD-T,"Royal design 13ml, 1/2oz Clear glass bottle with shiny gold ",family,Royal,Vial
GB-CIR-FRS-50ML-SPR-SGLD,"Circle design 50 ml, 1.7oz  frosted glass bottle  with shiny",capStyle,Spray,Screw Cap
GB-CYL-CLR-6ML-MRL-SBLK,"Tulip design 6ml, 1/5oz Clear glass bottle with metal roller",family,Tulip,Cylinder
CMP-CAP-BLK-8425-T,"Tall black lid or closure for glass bottle, Thread size 8-42",family,Cap/Closure,Cap
CMP-CAP-BLK-8425-T,"Tall black lid or closure for glass bottle, Thread size 8-42",category,Component,Cap/Closure
CJ-JAR-FRS-60ML,Frosted plastic Cream jar bottle with clear cap. Capacity: 6,category,Glass Jar,Cream Jar
GB-SLM-CLR-50ML-AST-IVGD,"Slim design 50 ml, 1.7oz  clear glass bottle  with Ivory vin",capColor,Ivory,Ivory Gold
LB-RND-FRS-128ML-LPM-CPR,"Round design 128 ml, 4.33oz frosted glass bottle with matte ",category,Glass Bottle,Lotion Bottle
GB-CYL-PNK-5ML-ATM-PNK-02,Pink atomizer design 5 ml bottle with dots.,family,Atomizer,Cylinder
GB-CYL-PNK-5ML-ATM-PNK-02,Pink atomizer design 5 ml bottle with dots.,category,Metal Atomizer,Glass Bottle
LB-ELG-FRS-60ML-LPM-SBLK,"Elegant design 60 ml, 2oz frosted glass bottle with shiny bl",category,Glass Bottle,Lotion Bottle
CMP-DRP-WHT-18400-66,White rubber bulb dropper with white cap. Glass stem length ,category,Component,Other
GB-EMP-CLR-50ML-SPR-SSLV,"Empire design 50 ml, 1.7oz  clear glass bottle  with shiny s",diameter,37 ±0.5 mm,72 ±1 mm
LB-RND-CLR-78ML-LPM-COCP,"Round design 78 ml, 2.65oz clear glass bottle with with a ma",category,Glass Bottle,Lotion Bottle
CMP-CAP-BLK-20-400-2OZ,"Black lid or closure for glass bottle, Thread size 20-400",family,Cap/Closure,Cap
CMP-CAP-BLK-8-425,"Black lid or closure for glass bottle, Thread size 8-425",family,Cap/Closure,Cap
CMP-CAP-BLK-8-425,"Black lid or closure for glass bottle, Thread size 8-425",category,Component,Other
LB-DVA-CLR-30ML-LPM-SGLD,"Diva design 30 ml, 1oz clear glass bottle with shiny gold lo",category,Glass Bottle,Lotion Bottle
LB-DMD-CLR-60ML-LPM-SGLD,"Diamond design 60ml, 2 ounce clear glass bottle with shiny g",category,Glass Bottle,Lotion Bottle
GB-SLM-CLR-5ML-ATM-GLD-T,Gold slim atomizer design 5 ml bottle. For use with perfumes,family,Atomizer,Slim
GB-SLM-CLR-5ML-ATM-GLD-T,Gold slim atomizer design 5 ml bottle. For use with perfumes,category,Metal Atomizer,Glass Bottle
LB-SLK-CLR-30ML-LPM-SBLK,"Sleek design 30 ml, 1oz clear glass bottle with shiny black ",category,Glass Bottle,Lotion Bottle
LB-DVA-CLR-30ML-LPM-SBLK,"Diva design 30 ml, 1oz clear glass bottle with shiny black l",category,Glass Bottle,Lotion Bottle
CMP-DRP-WTSL-20400-76,White rubber bulb dropper with shiny silver collar cap. Glas,category,Component,Other
CJ-JAR-FRS-30ML-SLV,Cream jar style 30 ml frosted bottle with silver cap . For u,category,Glass Jar,Cream Jar
CMP-SPR-GLD-18415-TSL,Gold Antique or Vintage style bulb sprayer with tassel. Thre,category,Component,Cap/Closure
GB-EMP-CLR-50ML-SPR-MGLD,"Empire design 50 ml, 1.7oz  clear glass bottle  with matte g",capStyle,Spray,Screw Cap
GB-EMP-CLR-50ML-SPR-MGLD,"Empire design 50 ml, 1.7oz  clear glass bottle  with matte g",diameter,37 ±0.5 mm,72 ±1 mm
GB-DVA-CLR-46ML-ASP-IVGD,"Diva design 46 ml, 1.64oz  clear glass bottle with ivory vin",capColor,Ivory,Ivory Gold
LB-DVA-FRS-46ML-05,Diva 46 ml (1.56 oz) Clear Lotion Bottle,category,Glass Bottle,Lotion Bottle
CMP-DRP-BKSL-18400-66,Black rubber bulb dropper with shiny silver collar cap. Glas,category,Component,Other
PKG-BOX-BWIN-ORNG,Orange Shade design folding carton box with window. Size: 1.,category,Packaging,Other
GB-DVA-CLR-46ML-T-12,Diva 46 ml (1.56 oz) Clear Glass Bottle Tall Cap,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-ELG-FRS-60ML-AST-IVSL,"Elegant design 60 ml, 2oz frosted glass bottle with Ivory vi",capColor,Ivory,Ivory Silver
GB-PIL-CLR-9ML-RBL-BDOT,Pillar shaped 9ml Clear glass bottle with plastic roller bal,family,Pillar,Roll-On Bottle
GB-PIL-CLR-9ML-RBL-BDOT,Pillar shaped 9ml Clear glass bottle with plastic roller bal,dataGrade,B,B — no cap color; no thread
GB-PIL-CLR-9ML-RBL-BDOT,Pillar shaped 9ml Clear glass bottle with plastic roller bal,heightWithCap,70 ±1 mm Item Height without C,105.5
GB-PIL-CLR-9ML-RBL-BDOT,Pillar shaped 9ml Clear glass bottle with plastic roller bal,heightWithoutCap,57 ±1 mm Item Diameter: 21 ±0.,86.9
GB-TUL-CLR-6ML-CAP-SBLK,"Tulip design 6ml, 1/5oz Clear glass bottle with short shiny ",dataGrade,B,C — no applicator; unclassified; no cap color; no thread
GB-TUL-CLR-6ML-CAP-SBLK,"Tulip design 6ml, 1/5oz Clear glass bottle with short shiny ",heightWithCap,47 ±0.5 mm Item Height without,70.7
GB-TUL-CLR-6ML-CAP-SBLK,"Tulip design 6ml, 1/5oz Clear glass bottle with short shiny ",heightWithoutCap,45 ±0.5 mm Item Diameter: 23 ±,50.8
LB-RND-CLR-78ML-LPM-MGLD,"Round design 78 ml, 2.65oz clear glass bottle with matte gol",category,Glass Bottle,Lotion Bottle
CMP-CLS-SLV-03,Cap/Closure Silver,family,Cap/Closure,Component
CMP-CLS-SLV-03,Cap/Closure Silver,dataGrade,B,B — no thread
LB-CYL-CLR-100ML-LPM-SGLD,"Cylinder design 100 ml, 3 1/2oz clear glass bottle with shin",category,Glass Bottle,Lotion Bottle
LB-CIR-CLR-50ML-LPM-SGLD,"Circle design 50 ml, 1.7oz clear glass bottle with shiny gol",category,Glass Bottle,Lotion Bottle
GB-ELG-CLR-15ML-MRL,Elegant 15 ml (0.51 oz) Clear Glass Bottle with Metal Roller,dataGrade,B — no thread,B — no cap color; no thread
CMP-ROC-BLK-13415-DOT,"Shiny black cap with dots or closure for rollon bottles, Thr",category,Component,Roll-On Cap
CMP-SPR-GLD-18-415-02,Gold Antique or Vintage style bulb sprayer with Gold fitting,family,Sprayer,Component
CMP-SPR-GLD-18-415-02,Gold Antique or Vintage style bulb sprayer with Gold fitting,capColor,Shiny Gold,Gold
CMP-SPR-GLD-18-415-02,Gold Antique or Vintage style bulb sprayer with Gold fitting,dataGrade,B — no color,A
CMP-SPR-GLD-18-415-02,Gold Antique or Vintage style bulb sprayer with Gold fitting,diameter,65 ±1 mm,22
CMP-SPR-GLD-18-415-02,Gold Antique or Vintage style bulb sprayer with Gold fitting,heightWithCap,38 ±0.5 mm,20
GB-ELG-FRS-60ML-SPR-SGLD,"Elegant design 60 ml, 2oz frosted glass bottle with shiny go",capStyle,Spray,Screw Cap
LB-SLK-CLR-100ML-LPM-SBLK,"Sleek design 100 ml, 3 1/2oz clear glass bottle with shiny b",category,Glass Bottle,Lotion Bottle
GB-RCT-CLR-10ML-SPR-MGLD-01,"Footed rectangular design 10ml, 1/3oz Clear glass bottle wit",capStyle,Spray,Screw Cap
GB-CYL-CLR-9ML-MRL-SBLK-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with meta",capStyle,Tall,Roll-On
GB-RCT-CLR-10ML-SPR-SBLK-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Spray
CMP-CAP-MSLV-18415-S,"Short Matt Silver caps for glass bottles, Thread size 18-415",family,Cap/Closure,Cap
CMP-CAP-MSLV-18415-S,"Short Matt Silver caps for glass bottles, Thread size 18-415",category,Component,Cap/Closure
GB-EMP-CLR-100ML-SPR-MGLD,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with matt",capStyle,Spray,Screw Cap
GB-EMP-CLR-100ML-SPR-MGLD,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with matt",diameter,46 ±0.5 mm,78 ±1 mm
LB-CIR-FRS-50ML-LPM-MGLD,"Circle design 50 ml, 1.7oz frosted glass bottle with matte g",category,Glass Bottle,Lotion Bottle
CJ-JAR-CLR-5ML-CLR,"Plastic, cream jar style 5 ml clear bottle with clear cap Sm",category,Glass Jar,Cream Jar
GB-CYL-CLR-6ML-MRL-SGLD,"Tulip design 6ml, 1/5oz Clear glass bottle with metal roller",family,Tulip,Cylinder
GB-EMP-CLR-50ML-AST-LVN,"Empire design 50 ml, 1.7oz  clear glass bottle  with Lavende",diameter,37 ±0.5 mm,72 ±1 mm
ACC-VLV-RED-4X5,"Velveteen bag, gift bag, gift packing.",category,Packaging,Other
GB-CYL-CLR-5ML-MRL-PKDT,"Cylinder design 5ml, 1/6oz Clear glass bottle with metal rol",capColor,Pink with Dots,Pink Dotted
GB-DVA-FRS-46ML-T-31,Diva 46 ml (1.56 oz) Frosted Glass Bottle Tall Cap,capColor,Brown Leather,Clear
GB-SLK-CLR-50ML-SPR-SGLD,"Sleek design 50 ml, 1.7oz  clear glass bottle  with shiny go",capStyle,Spray,Screw Cap
GB-EMP-CLR-50ML-DRP-SLV,"Empire design 50 ml, 1.7oz  clear glass bottle  with white d",diameter,37 ±0.5 mm,72 ±1 mm
GB-SLM-CLR-5ML-ATM-SLV-T,Silver slim atomizer design 5 ml bottle. For use with perfum,family,Atomizer,Slim
GB-SLM-CLR-5ML-ATM-SLV-T,Silver slim atomizer design 5 ml bottle. For use with perfum,category,Metal Atomizer,Glass Bottle
GB-CYL-CLR-50ML-AST-IVGD,"Cylinder design 50 ml, 1.7oz  clear glass bottle  with Ivory",capColor,Ivory,Ivory Gold
GB-CYL-CLR-5ML-SPR-MGLD,"Cylinder design 5ml, 1/6oz Clear glass bottle with matte gol",capStyle,Spray,Screw Cap
ACC-RCB-3X3-02,3inches x 3inches Recloseable Plastic Bags. 100 pieces per p,category,Packaging,Other
LB-SLM-CLR-100ML-LPM-MSLV,"Slim design 100 ml, 3 1/2oz clear glass bottle with matte si",category,Glass Bottle,Lotion Bottle
LB-DVA-CLR-46ML-05,Diva 46 ml (1.56 oz) Clear Lotion Bottle,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-CYL-BLU-5ML-MRL-SLDT,"Cylinder design 5ml, 1/6oz Blue glass bottle with metal roll",capColor,Silver with Dots,Silver Dotted
GB-RND-FRS-78ML-ASP-IVGD,"Round design 78 ml, 2.65oz frosted glass bottle with ivory v",capColor,Ivory,Ivory Gold
GB-CYL-CLR-10ML-ATM-RED,"Red atomizer design 10 ml bottle. For use with perfumes, Col",family,Atomizer,Cylinder
GB-CYL-CLR-10ML-ATM-RED,"Red atomizer design 10 ml bottle. For use with perfumes, Col",category,Metal Atomizer,Glass Bottle
CMP-SPR-SHGD-18-415-05,"Shiny Gold collar sprayer, Thread size 18-415",family,Sprayer,Component
CMP-SPR-SHGD-18-415-05,"Shiny Gold collar sprayer, Thread size 18-415",dataGrade,C — no color,A
CMP-SPR-SHGD-18-415-05,"Shiny Gold collar sprayer, Thread size 18-415",caseQuantity,357.0,500.0
CMP-SPR-SHGD-18-415-05,"Shiny Gold collar sprayer, Thread size 18-415",diameter,23 ±0.5 mm,22
CMP-SPR-SHGD-18-415-05,"Shiny Gold collar sprayer, Thread size 18-415",heightWithCap,41 ±0.5 mm,20
GB-RND-FRS-78ML-SPR-MGLD,"Round design 78 ml, 2.65oz frosted glass bottle with matte g",capStyle,Spray,Screw Cap
GB-CYL-CLR-6ML-SPR-SBLK,"Tulip design 6ml, 1/5oz Clear glass bottle with shiny black ",family,Tulip,Cylinder
GB-RND-FRS-78ML-SPR-SGLD,"Round design 78 ml, 2.65oz frosted glass bottle with shiny g",capStyle,Spray,Screw Cap
GB-CYL-CLR-5ML-ROL-BKDT,"Cylinder design 5ml, 1/6oz Clear glass bottle with plastic r",capColor,Black with Dots,Black Dotted
GB-ELG-CLR-60ML-ASP-IVSL,"Elegant design 60 ml, 2oz  clear glass bottle  with ivory vi",capColor,Ivory,Ivory Silver
GB-RCT-CLR-10ML-MRL-MCPR-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Roll-On
GB-DVA-CLR-30ML-RDC-SBLK-T,"Diva design 30 ml, 1oz  clear glass bottle  with reducer and",capStyle,Tall,Screw Cap
GB-RCT-CLR-10ML-MRL-BKDT-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Dot Cap
ACC-ORG-BLK-5X8,Black Organza / sheer gusseted gift bag. Size : 5 inches x 8,category,Packaging,Other
GB-RND-FRS-128ML-RDC-PNK,"Round design 128 ml, 4.33oz frosted glass bottle with reduce",capColor,Pink Leather,Pink
LB-DVA-CLR-46ML-LPM-COCP,"Diva design 46 ml, 1.64oz clear glass bottle with with a mat",category,Glass Bottle,Lotion Bottle
GB-ELG-CLR-60ML-RDC-SBLK-T,"Elegant design 60 ml, 2oz  clear glass bottle  with reducer ",capStyle,Tall,Screw Cap
CMP-SPR-SHBK-18-415-06,"Shiny Black collar sprayer, Thread size 18-415",family,Sprayer,Component
CMP-SPR-SHBK-18-415-06,"Shiny Black collar sprayer, Thread size 18-415",dataGrade,C — no color,A
CMP-SPR-SHBK-18-415-06,"Shiny Black collar sprayer, Thread size 18-415",caseQuantity,357.0,500.0
CMP-SPR-SHBK-18-415-06,"Shiny Black collar sprayer, Thread size 18-415",diameter,23 ±0.5 mm,22
CMP-SPR-SHBK-18-415-06,"Shiny Black collar sprayer, Thread size 18-415",heightWithCap,41 ±0.5 mm,20
CJ-JAR-CLR-3ML,"Plastic, cream jar style 3 ml bottle with clear cap. For use",category,Glass Jar,Cream Jar
GB-EMP-CLR-50ML-RDC-SSLV,"Empire design 50 ml, 1.7oz  clear glass bottle  with reducer",diameter,37 ±0.5 mm,72 ±1 mm
GB-RND-CLR-128ML-SPR-MGLD,"Round design 128 ml, 4.33oz  clear glass bottle  with matte ",capStyle,Spray,Screw Cap
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,family,Bell,Roll-On Bottle
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,capColor,Shiny Black,Clear
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,dataGrade,B,B — no cap color; no thread
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,diameter,27 ±0.5 mm,43.7
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,heightWithCap,66 ±1 mm,105.5
GB-BEL-CLR-10ML-ROL-BLDOT,Bell design 10ml Clear glass bottle with plastic roller ball,heightWithoutCap,55 ±1 mm,86.9
GB-VIA-WHT-15ML-WHT-S-02,"Square design 15ml, 1/2oz Clear glass bottle with short whit",family,Square,Vial
GB-EMP-CLR-50ML-ASP-LVN,"Empire design 50 ml, 1.7oz  clear glass bottle  with lavende",diameter,37 ±0.5 mm,72 ±1 mm
LB-EMP-CLR-100ML-LPM-SBLK,"Empire design 100 ml, 3 1/2oz clear glass bottle with shiny ",category,Glass Bottle,Lotion Bottle
LB-EMP-CLR-100ML-LPM-SBLK,"Empire design 100 ml, 3 1/2oz clear glass bottle with shiny ",diameter,46 ±0.5 mm,35 ±0.5 mm
CMP-SPR-BKSLWH-18-415-02,Black Antique or Vintage style bulb sprayer with tassel. Thr,family,Sprayer,Component
CMP-SPR-BKSLWH-18-415-02,Black Antique or Vintage style bulb sprayer with tassel. Thr,capColor,Black,Black Silver White
CMP-SPR-BKSLWH-18-415-02,Black Antique or Vintage style bulb sprayer with tassel. Thr,dataGrade,B — no color,A
CMP-SPR-BKSLWH-18-415-02,Black Antique or Vintage style bulb sprayer with tassel. Thr,diameter,21 ±0.5 mm,22
CMP-SPR-BKSLWH-18-415-02,Black Antique or Vintage style bulb sprayer with tassel. Thr,heightWithCap,36 ±0.5 mm,20
CMP-SPR-MTSL-13-415-07,"Matte silver Fine Mist Sprayer, Thread size 13-415",family,Sprayer,Component
CMP-SPR-MTSL-13-415-07,"Matte silver Fine Mist Sprayer, Thread size 13-415",capColor,Silver,Matte Silver
CMP-SPR-MTSL-13-415-07,"Matte silver Fine Mist Sprayer, Thread size 13-415",dataGrade,B — no color,A
CMP-SPR-MTSL-13-415-07,"Matte silver Fine Mist Sprayer, Thread size 13-415",diameter,17 ±0.5 mm,22
CMP-SPR-MTSL-13-415-07,"Matte silver Fine Mist Sprayer, Thread size 13-415",heightWithCap,32 ±0.5 mm,20
GB-CIR-CLR-30ML-SPR-SGLD,"Circle design 30 ml, clear glass bottle with sprayer and shi",capStyle,Spray,Screw Cap
CMP-CLS-BLK-07,Cap/Closure Black,family,Cap/Closure,Component
CMP-CLS-BLK-07,Cap/Closure Black,dataGrade,B,B — no thread
GB-DVA-CLR-46ML-06,Diva 46 ml (1.56 oz) Clear Glass Bottle,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
GB-EMP-CLR-100ML-ASP-BLK,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with blac",diameter,46 ±0.5 mm,78 ±1 mm
GB-CYL-CLR-10ML-ATM-SLV-02,Silver atomizer design 10 ml bottle with dots. For use with ,family,Atomizer,Cylinder
GB-CYL-CLR-10ML-ATM-SLV-02,Silver atomizer design 10 ml bottle with dots. For use with ,category,Metal Atomizer,Glass Bottle
LB-SLK-CLR-50ML-LPM-SSLV,"Sleek design 50 ml, 1.7oz clear glass bottle with shiny silv",category,Glass Bottle,Lotion Bottle
LB-SLK-CLR-50ML-LPM-MSLV,"Sleek design 50 ml, 1.7oz clear glass bottle with matte silv",category,Glass Bottle,Lotion Bottle
GB-DMD-CLR-60ML-SPR-SGLD,"Diamond design 60ml, 2 ounce  clear glass bottle  with shiny",capStyle,Spray,Screw Cap
GB-EMP-CLR-100ML-AST-BLK,"Empire design 100 ml, 3 1/2oz  clear glass bottle  with Blac",diameter,46 ±0.5 mm,78 ±1 mm
GB-CYL-CLR-9ML-MRL-MGLD-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with meta",capStyle,Tall,Screw Cap
CMP-CAP-BLK-13-415-01,Cap/Closure Thread 13-415,category,Component,Cap/Closure
GB-EMP-CLR-50ML-RDC-LBLT,"Empire design 50 ml, 1.7oz  clear glass bottle  with reducer",diameter,37 ±0.5 mm,72 ±1 mm
GB-CYL-AMB-5ML-SLV-T,"Tulip design 5ml, 1/6 oz Amber glass bottle with shiny silve",family,Tulip,Cylinder
GB-RND-CLR-78ML-AST-IVSL,"Round design 78 ml, 2.65oz  clear glass bottle  with Ivory v",capColor,Ivory,Ivory Silver
GB-CYL-AMB-5ML-ROL-SSLV,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",family,Tulip,Cylinder
GB-EMP-CLR-50ML-RDC-SBLK-T,"Empire design 50 ml, 1.7oz  clear glass bottle  with reducer",capStyle,Tall,Screw Cap
GB-EMP-CLR-50ML-RDC-SBLK-T,"Empire design 50 ml, 1.7oz  clear glass bottle  with reducer",diameter,37 ±0.5 mm,72 ±1 mm
CMP-CLS-WHT-13-425,Cap/Closure White Thread 13-425,family,Cap/Closure,Component
CMP-CLS-WHT-13-425,Cap/Closure White Thread 13-425,dataGrade,B,A
GB-CYL-CLR-5ML-S,"Cylinder design 5ml, 1/6oz Clear glass bottle with short bla",capColor,Short Black,Clear
LB-SLM-CLR-30ML-LPM-SGLD,"Slim design 30 ml, 1oz clear glass bottle with shiny gold lo",category,Glass Bottle,Lotion Bottle
CJ-JAR-AMB-30ML-BLK,Cream glass jar style 30 ml amber bottle with black cap. For,category,Glass Jar,Cream Jar
GB-RND-FRS-128ML-RDC-02,"Round design 128 ml, 4.33oz frosted glass bottle with reduce",capColor,Light Brown Leather,Frosted
LB-SLM-CLR-30ML-LPM-COCP,"Slim design 30 ml, 1oz clear glass bottle with with a matte ",category,Glass Bottle,Lotion Bottle
GB-CYL-AMB-5ML-SPR-SSLV,"Tulip design 5ml, 1/6 oz Amber glass bottle with shiny silve",family,Tulip,Cylinder
GB-RND-CLR-78ML-AST-IVGD,"Round design 78 ml, 2.65oz  clear glass bottle  with Ivory v",capColor,Ivory,Ivory Gold
CMP-SPR-MTCP-13-415-07,"Matte Copper Fine Mist Sprayer, Thread size 13-415",family,Sprayer,Component
CMP-SPR-MTCP-13-415-07,"Matte Copper Fine Mist Sprayer, Thread size 13-415",capColor,Copper,Matte Copper
CMP-SPR-MTCP-13-415-07,"Matte Copper Fine Mist Sprayer, Thread size 13-415",dataGrade,B — no color,A
CMP-SPR-MTCP-13-415-07,"Matte Copper Fine Mist Sprayer, Thread size 13-415",diameter,17 ±0.5 mm,22
CMP-SPR-MTCP-13-415-07,"Matte Copper Fine Mist Sprayer, Thread size 13-415",heightWithCap,32 ±0.5 mm,20
GB-EMP-CLR-50ML-SPR-MSLV,"Empire design 50 ml, 1.7oz  clear glass bottle  with matte s",diameter,37 ±0.5 mm,72 ±1 mm
LB-GRC-CLR-55ML-LPM-SBLK,"Grace design 55 ml, 1.85oz clear glass bottle with shiny bla",category,Glass Bottle,Lotion Bottle
GB-DVA-CLR-46ML-T-18,Diva 46 ml (1.56 oz) Clear Glass Bottle Tall Cap,dataGrade,C — no applicator; no thread,C — no applicator; no cap color; no thread
LB-CYL-CLR-100ML-LPM-SSLV,"Cylinder design 100 ml, 3 1/2oz clear glass bottle with shin",category,Glass Bottle,Lotion Bottle
CMP-CAP-SGLD-8425-T,"Tall shiny gold lid or closure for glass bottle, Thread size",family,Cap/Closure,Cap
CMP-CAP-SGLD-8425-T,"Tall shiny gold lid or closure for glass bottle, Thread size",category,Component,Cap/Closure
GB-RYL-CLR-13ML-SPR-MGLD,"Royal design 13ml, 1/2oz Clear glass bottle with matte gold ",capStyle,Spray,Screw Cap
PKG-BOX-ECRM-CUBE,Cream Matte finish 4 x 3.5 x 4 inches tall box.,category,Packaging,Other
GB-CYL-AMB-5ML-MRL-MCPR,"Tulip design 5ml, 1/6 oz Amber glass bottle with metal rolle",family,Tulip,Cylinder
GB-CYL-AMB-5ML-MRL-SGLD,"Tulip design 5ml, 1/6 oz Amber glass bottle with metal rolle",family,Tulip,Cylinder
CMP-SPR-BLK-15-415,"Shiny Black Fine Mist Sprayer, Thread size 15-415",category,Component,Other
LB-CYL-FRS-9ML-LPM-MSLV,"Cylinder design 9ml,1/3 oz frosted glass bottle with treatme",category,Glass Bottle,Lotion Bottle
GB-CIR-FRS-50ML-SPR-MGLD,"Circle design 50 ml, 1.7oz  frosted glass bottle  with matte",capStyle,Spray,Screw Cap
GB-CYL-AMB-5ML-ROL-BKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",family,Tulip,Cylinder
GB-CYL-FRS-9ML-06,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with sh",capStyle,Tall,Spray
LB-SLK-CLR-50ML-LPM-SBLK,"Sleek design 50 ml, 1.7oz clear glass bottle with shiny blac",category,Glass Bottle,Lotion Bottle
GB-CYL-CLR-6ML-ROL-BKDT,"Tulip design 6ml, 1/5oz Clear glass bottle with plastic roll",family,Tulip,Cylinder
LB-CYL-AMB-9ML-LPM-BLK,"Cylinder design 9ml,1/3 oz amber glass bottle with treatment",category,Glass Bottle,Lotion Bottle
GB-SLM-CLR-100ML-AST-IVGD,"Slim design 100 ml, 3 1/2oz  clear glass bottle  with Ivory ",capColor,Ivory,Ivory Gold
LB-ELG-FRS-60ML-LPM-MGLD,"Elegant design 60 ml, 2oz frosted glass bottle with matte go",category,Glass Bottle,Lotion Bottle
LB-CIR-FRS-100ML-LPM-MSLV,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matt",category,Glass Bottle,Lotion Bottle
LB-ELG-CLR-100ML-LPM-COCP,"Elegant design 100 ml, 3 1/2oz clear glass bottle with with ",category,Glass Bottle,Lotion Bottle
LB-EMP-CLR-50ML-LPM-SSLV,"Empire design 50 ml, 1.7oz clear glass bottle with shiny sil",category,Glass Bottle,Lotion Bottle
LB-EMP-CLR-50ML-LPM-SSLV,"Empire design 50 ml, 1.7oz clear glass bottle with shiny sil",diameter,37 ±0.5 mm,72 ±1 mm
LB-ELG-FRS-60ML-LPM-MSLV,"Elegant design 60 ml, 2oz frosted glass bottle with matte si",category,Glass Bottle,Lotion Bottle
CMP-SPR-MTGD-18-415-01,Sprayer Matte Gold Thread 18-415,family,Sprayer,Component
GB-SPR-CLR-30ML-SLV,Clear Glass Spray Bottle with Silver Top and Base. Capacity:,family,Cylinder,Spray Bottle
LB-RND-FRS-128ML-LPM-SSLV,"Round design 128 ml, 4.33oz frosted glass bottle with shiny ",category,Glass Bottle,Lotion Bottle
ACC-RCB-3X4,3inches x 4inches Recloseable Plastic Bags. 100 pieces per p,category,Packaging,Other
GB-SLK-CLR-50ML-AST-IVGD,"Sleek design 50 ml, 1.7oz  clear glass bottle  with Ivory vi",capColor,Ivory,Ivory Gold
GB-CIR-FRS-50ML-RDC-SGLD,"Circle design 50 ml, 1.7oz  frosted glass bottle  with reduc",heightWithCap,91 ±1 mm,112 ±2 mm
GB-CYL-CLR-10ML-ATM-SLV-03,Silver atomizer design 10 ml bottle with star patterns. For ,family,Atomizer,Cylinder
GB-CYL-CLR-10ML-ATM-SLV-03,Silver atomizer design 10 ml bottle with star patterns. For ,category,Metal Atomizer,Glass Bottle
CMP-SPR-GLD-15-415,"Matte Gold Fine Mist Sprayer, Thread size 15-415",category,Component,Other
GB-CYL-CLR-5ML-MRL-BKDT,"Cylinder design 5ml, 1/6oz Clear glass bottle with metal rol",capColor,Black with Dots,Black Dotted
GB-RND-FRS-128ML-ASP-IVGD,"Round design 128 ml, 4.33oz frosted glass bottle with ivory ",capColor,Ivory,Ivory Gold
CMP-SPR-IVGD-18-415-02,Sprayer Thread 18-415,capColor,Ivory,Ivory Gold
GB-CYL-CLR-5ML-ROL-PKDT,"Cylinder design 5ml, 1/6oz Clear glass bottle with plastic r",capColor,Pink with Dots,Pink Dotted
GB-CYL-CLR-50ML-SPR-SGLD,"Cylinder design 50 ml, 1.7oz  clear glass bottle  with shiny",capStyle,Spray,Screw Cap
CMP-ROC-SLV-17415-DOT,"Silver with dots cap or closure for rollon bottles, Threadsi",category,Component,Roll-On Cap
GB-BLL-CLR-10ML-MRL-BDOT,Bell design 10ml Clear glass bottle with metal roller ball p,family,Bell,Roll-On Bottle
GB-BLL-CLR-10ML-MRL-BDOT,Bell design 10ml Clear glass bottle with metal roller ball p,dataGrade,B,B — no cap color; no thread
