graceSku,itemName,field,convex,master_v83
GB-CIR-FRS-50ML-RDC-BLK,"Circle design 50 ml, 1.7oz  frosted glass bottle  with reduc",capColor,Black Leather,Black
GB-BLL-CLR-10ML-RBL-BDOT,Bell design 10ml Clear glass bottle with plastic roller ball,family,Bell,Roll-On Bottle
GB-BLL-CLR-10ML-RBL-BDOT,Bell design 10ml Clear glass bottle with plastic roller ball,dataGrade,B,B — no cap color; no thread
GB-BLL-CLR-10ML-RBL-BDOT,Bell design 10ml Clear glass bottle with plastic roller ball,heightWithCap,66 ±1 mm Item Height without C,105.5
GB-BLL-CLR-10ML-RBL-BDOT,Bell design 10ml Clear glass bottle with plastic roller ball,heightWithoutCap,55 ±1 mm Item Diameter: 27 ±0.,86.9
LB-SLM-CLR-30ML-LPM-MSLV,"Slim design 30 ml, 1oz clear glass bottle with matte silver ",category,Glass Bottle,Lotion Bottle
CMP-SPR-SLV-15-415,"Matte Silver Fine Mist Sprayer, Thread size 15-415",category,Component,Other
GB-RCT-CLR-10ML-MRL-SSLV-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Roll-On
LB-CYL-BLU-9ML-LPM-GLD,"Cylinder design 9ml,1/3 oz Cobalt blue glass bottle with tre",category,Glass Bottle,Lotion Bottle
CMP-DRP-BKGD-18400-66,Black rubber bulb dropper with shiny gold collar cap. Glass ,category,Component,Other
LB-CIR-FRS-100ML-LPM-MGLD,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matt",category,Glass Bottle,Lotion Bottle
LB-SLM-CLR-100ML-MSLV-T,"Slim design 100 ml, 3 1/2oz clear glass bottle with with a m",category,Glass Bottle,Lotion Bottle
GB-CYL-CLR-6ML-GLD-T,"Tulip design 6ml, 1/5oz Clear glass bottle with shiny gold c",family,Tulip,Cylinder
LB-EMP-CLR-50ML-LPM-OVCP-T,"Empire design 50 ml, 1.7oz clear glass bottle with white rec",category,Glass Bottle,Lotion Bottle
LB-EMP-CLR-50ML-LPM-OVCP-T,"Empire design 50 ml, 1.7oz clear glass bottle with white rec",capColor,Clear Overcap,Overcap
LB-EMP-CLR-50ML-LPM-OVCP-T,"Empire design 50 ml, 1.7oz clear glass bottle with white rec",diameter,37 ±0.5 mm,72 ±1 mm
CMP-ROC-SSLV-20400-T,"Tall Shiny Silver cap or closure for rollon bottles, Threads",category,Component,Roll-On Cap
CMP-ROC-SSLV-20400-T,"Tall Shiny Silver cap or closure for rollon bottles, Threads",capStyle,Tall,Roll-On
LB-DVA-CLR-46ML-LPM-MSLV,"Diva design 46 ml, 1.64oz clear glass bottle with matte silv",category,Glass Bottle,Lotion Bottle
