body_id,family,alias,capacity_ml,diameter_mm,body_height_mm,neck_finish,sku_count,glass_colors,applicators,example_skus,complexity,confidence,existing_model,geometry_status,parametric_group
BB-BODY-071,Elegant,15 ml Elegant,15,,,13-415,2,2,2,GBElg15MinarCu; GBElgFrst15BlkShSht,MODERATE,LOW,NO,PARAMETRIC CANDIDATE,CAND-ELEGANT-13-415
BB-BODY-072,Lotion Bottle,30 ml Lotion Bottle,30,,,?,2,1,0,LB1ozGl; LB1ozSl,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-073,Pillar,9 ml Pillar,9,,,13-415,2,1,1,GBPillar9MtlRollBlkdot; GBPillar9RollBlkDot,COMPLEX,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-074,Vial,3 ml Vial (29 mm body),3,14.0,29.0,13-425,2,2,0,GBVGreen2o4BlackCapSht; GBVGreen2o4WhtCapSht,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-075,Aluminum Bottle,100 ml Aluminum Bottle,100,50.0,,20-410,1,0,0,Alu100mlSprayBlack,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-076,Aluminum Bottle,500 ml Aluminum Bottle (178 mm body),500,74.0,178.0,20-410,1,0,0,Alu500,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-077,Apothecary,118 ml Apothecary,118,,,Ground,1,1,0,GBPearClear4ozStpr,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-078,Apothecary,15 ml Apothecary (58 mm body),15,30.0,58.0,Ground,1,1,1,GB15ApthBlue,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-079,Boston Round,15 ml Boston Round,15,,,18-400,1,1,1,GBBstn15BlkDrp,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-080,Boston Round,30 ml Boston Round (68 mm body),30,33.0,68.0,20-400,1,1,0,GBBstn1ozBlkCapSht,EASY,HIGH,NO,PARAMETRIC VARIANT,PARAM-BOSTONROUND-20-400-33
BB-BODY-081,Circle,50 ml Circle (87 mm body),50,,87.0,18-400,1,1,1,GBCrclFrst50RdcrIvyLthr,EASY,MEDIUM,NO,UNIQUE GEOMETRY,
BB-BODY-082,Cream Jar,15 ml Cream Jar (31 mm body),15,48.0,31.0,37mm,1,0,0,CJClr15Wht,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-083,Cream Jar,15 ml Cream Jar (26 mm body),15,55.0,26.0,37mm,1,0,0,CJClr15Pnk,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-084,Cream Jar,20 ml Cream Jar,20,55.0,,40mm,1,0,0,CJWhite20,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-085,Cream Jar,5 ml Cream Jar (16 mm body),5,31.0,16.0,27mm,1,0,0,CJClr5mlClrCap,EASY,HIGH,NO,PARAMETRIC VARIANT,PARAM-CREAMJAR-27mm-31
BB-BODY-086,Cream Jar,5 ml Cream Jar (24 mm body),5,31.0,24.0,27mm,1,0,0,CJAmb5mlBlkCap,EASY,HIGH,NO,PARAMETRIC VARIANT,PARAM-CREAMJAR-27mm-31
BB-BODY-087,Cream Jar,60 ml Cream Jar (51 mm body),60,59.0,51.0,58mm,1,0,0,CreamJarFrstdPlsBlkPls2oz,EASY,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-088,Cream Jar,63 ml Cream Jar,63,60.0,,58mm,1,0,0,CJWhitePlsSlFr2oz,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-089,Cylinder,118 ml Cylinder,118,,,?,1,1,1,PbClear4ozFlpWh,EASY,LOW,NO,PARAMETRIC CANDIDATE,CAND-CYLINDER-?
BB-BODY-090,Cylinder,227 ml Cylinder,227,,,?,1,1,1,PbClear8ozFlpWh,EASY,LOW,NO,PARAMETRIC CANDIDATE,CAND-CYLINDER-?
BB-BODY-091,Cylinder,454 ml Cylinder,454,,,?,1,1,1,PbNat16ozFlpWh,EASY,LOW,NO,PARAMETRIC CANDIDATE,CAND-CYLINDER-?
BB-BODY-092,Cylinder,5 ml Cylinder,5,,,13-415,1,1,1,GBCylBlu5BlkShSht,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-093,Cylinder,9 ml Cylinder,9,20.0,,18-400,1,1,1,GB09BlackCapApp,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-094,Cylinder,9 ml Cylinder,9,21.0,,18-400,1,1,0,GB09BlackCapSht,EASY,LOW,NO,UNIQUE GEOMETRY,
BB-BODY-095,Decorative,10 ml Decorative (80 mm body),10,,80.0,17.52mm,1,1,0,GBMtlMrblLarge,COMPLEX,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-DECORATIVE-17.52mm
BB-BODY-096,Decorative,3 ml Decorative (42 mm body),3,18.0,42.0,14.3mm,1,1,0,GB3TPlGl,COMPLEX,HIGH,NO,UNIQUE GEOMETRY,
BB-BODY-097,Decorative,35 ml Decorative (43 mm body),35,,43.0,Ground,1,1,0,GBEternalFlameBlue,COMPLEX,MEDIUM,NO,PARAMETRIC CANDIDATE,CAND-DECORATIVE-Ground
BB-BODY-098,Decorative,355 ml Decorative,355,92.0,,Ground,1,1,1,GBCB12ozPear,COMPLEX,LOW,NO,UNIQUE GEOMETRY,
