sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCrclFrst100SpryMtGl","GB-CIR-FRS-100ML-SPR-MGLD","Circle","100","Frosted","18-415","Perfume Spray Pump","Matte Gold","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100SpryShnGl","GB-CIR-FRS-100ML-SPR-SGLD","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Gold","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100SpryShnBlk","GB-CIR-FRS-100ML-SPR-SBLK","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Black","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100SpryMtSl","GB-CIR-FRS-100ML-SPR-MSLV","Circle","100","Frosted","18-415","Perfume Spray Pump","Matte Silver","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100SpryShnSl","GB-CIR-FRS-100ML-SPR-SSLV","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Silver","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50AnSpBlk","GB-CIR-CLR-50ML-ASP-BLK","Circle","50","Clear","18-415","Vintage Bulb Sprayer","Black","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100RdcrBlkLthr","GB-CIR-CLR-100ML-RDC-BKLT","Circle","100","Clear","18-415","Reducer","Black Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrcl50AnSpTslBlk","GB-CIR-CLR-50ML-AST-BLK","Circle","50","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrclFrst100RdcrBlkLthr","GB-CIR-FRS-100ML-RDC-BLK","Circle","100","Frosted","18-415","Reducer","Black","true","full","body | cap","","pending_exact_source_and_render_review"
"GBCrclFrst50AnSpBlk","GB-CIR-FRS-50ML-ASP-BLK","Circle","50","Frosted","18-415","Vintage Bulb Sprayer","Black","true","full","diptube | body | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpBlk","GB-CIR-CLR-100ML-ASP-BLK","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Black","true","full","body | diptube | sprayer","","pending_exact_source_and_render_review"
"GBCrcl100AnSpTslBlk","GB-CIR-CLR-100ML-AST-BLK","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
