role,sku,family,status,desktopCandidates,clientCandidates,sourceUrl
assembly,LBRndFrst128LtnShnSl,Round,source matching pending; inspect alternate filenames and embedded layers,,,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-shiny-silver-lotion-pump-and-cap
assembly,LBRndFrst128LtnCu,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/58. LBRndFrst128LtnCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /10. Round Frosted 128ml/1. Round Frst 128ml PSD/59. LBRndFrst128LtnCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/10. 128ml Round Frst, Ltn & Spry capped/58. LBRndFrst128LtnCu.psd",https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-matte-copper-lotion-pump-and-cap
assembly,GBRnd78SpryCu,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/53. GBRnd78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/56. GBRnd78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/53. GBRnd78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/54. GBRnd78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/55. GBRnd78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/56. GBRnd78SpryCu.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-matte-copper-spray-and-cap
assembly,GBRndFrst78SpryCu,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/54. GBRndFrst78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/53. GBRndFrst78SpryCu.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/54. GBRndFrst78SpryCu.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-matte-copper-spray-and-cap
assembly,GBRnd78SpryMtGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/11. GBRnd78SpryMtGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/11. GBRnd78SpryMtGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/13. GBRnd78SpryMtGl.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-matte-gold-spray-pump-and-cap
assembly,GBRnd78SpryMtSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/24. GBRnd78SpryMtSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/23. GBRnd78SpryMtSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/24. GBRnd78SpryMtSl.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-matte-silver-spray-pump-and-cap
assembly,GBRnd78SpryShnGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/17. GBRnd78SpryShnGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/15. GBRnd78SpryShnGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/17. GBRnd78SpryShnGl.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-shiny-gold-spray-pump-and-cap
assembly,GBRnd78SpryShnBlk,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/21. GBRnd78SpryShnBlk.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/19. GBRnd78SpryShnBlk.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/21. GBRnd78SpryShnBlk.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-shiny-black-spray-pump-and-cap
assembly,GBRnd78SpryShnSl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/30. GBRnd78SpryShnSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/29. GBRnd78SpryShnSl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /9. Round 78ml/1. Round 78ml PSD/30. GBRnd78SpryShnSl.psd",https://www.bestbottles.com/product/round-design-78-ml-glass-bottle-shiny-silver-spray-and-cap
assembly,GBRndFrst78SpryShnGl,Round,"source candidates located; identity, layers and per-bottle fit require review",,"/Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/17. GBRndFrst78SpryShnGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/15. GBRndFrst78SpryShnGl.psd | /Users/jordanrichter/Projects/Clients/Nemat-International/BB-PSD-Files-Master/2.  18-415 Bottles /8. Round 78ml Frosted/1. Round Frst 78ml Psd/17. GBRndFrst78SpryShnGl.psd",https://www.bestbottles.com/product/round-design-78-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap
