sku,family,capacityMl,glass,neck,fitment,finish,visible,blockers,componentSku,componentSellableReason,assemblySellableReason,componentStandaloneSellable,sourceUrl
"GBCrclFrst100SpryMtGl","Circle","100","Frosted","18-415","Perfume Spray Pump","Matte Gold","true","","Spry18-415MtGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-gold-spray-pump-and-cap"
"GBCrclFrst100SpryShnGl","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Gold","true","","Spry18-415ShnGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-shiny-gold-spray-pump-and-cap"
"GBCrclFrst100SpryShnBlk","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Black","true","","Spry18-415ShnBlk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-shiny-black-spray-pump-and-cap"
"GBCrclFrst100SpryMtSl","Circle","100","Frosted","18-415","Perfume Spray Pump","Matte Silver","true","","Spry18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-silver-spray-pump-and-cap"
"GBCrclFrst100SpryShnSl","Circle","100","Frosted","18-415","Perfume Spray Pump","Shiny Silver","true","","Spry18-415ShnSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-shiny-silver-spray-and-cap"
"GBCrcl50AnSpBlk","Circle","50","Clear","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100RdcrBlkLthr","Circle","100","Clear","18-415","Reducer","Black Leather","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-black-faux-leather-cap"
"GBCrcl50AnSpTslBlk","Circle","50","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","true","","AnSpTsl18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst100RdcrBlkLthr","Circle","100","Frosted","18-415","Reducer","Black","true","","CP18-415BlkLthr","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-reducer-black-faux-leather-cap"
"GBCrclFrst50AnSpBlk","Circle","50","Frosted","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpBlk","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpTslBlk","Circle","100","Clear","18-415","Vintage Bulb Sprayer with Tassel","Black","false","media_or_configuration_invalid","AnSpTsl18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrclFrst100AnSpBlk","Circle","100","Frosted","18-415","Vintage Bulb Sprayer","Black","true","","AnSp18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrclFrst100AnSpTslBlk","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","","AnSpTsl18-415Blk","","","true","https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar"
"GBCrcl100AnSpGl","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Gold","true","","AnSp18-415Gl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap"
"GBCrcl100AnSpLvn","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Lavender","true","","AnSp18-415Lvn","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-lavender-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpIvySl","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Ivory Silver","true","","AnSp18-415IvySl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpRed","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Red","true","","AnSp18-415Red","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-red-vintage-style-bulb-sprayer-shiny-silver-collar-cap"
"GBCrcl100AnSpMtSl","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Matte Silver","true","","AnSp18-415MtSl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-silver-vintage-style-sprayer-matte-silver-collar-cap"
"GBCrcl100AnSpIvyGl","Circle","100","Clear","18-415","Vintage Bulb Sprayer","Ivory Gold","true","","AnSp18-415IvyGl","","","true","https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap"
