sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
GBCyl9SpryShSl,9,17-415,Clear,Fine Mist Sprayer,Clear,True,False,media_or_configuration_invalid,Spry17-415ShnSl,missing_complete_kit,9ml Desktop native kit,False,not deployed
GBRoll28Blk,28,16mm,Clear,Plastic Roller Ball,Black,True,True,,GBRoll28Blk,,,False,not deployed
GBCylAmb9MtlRollPnkDot,9,17-415,Amber,Metal Roller Ball,Pink Dotted,False,False,assembly_stock_unavailable,CpRoll17-415PnkDot,,,True,not deployed
GBCyl9SpryRd,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,,Spry17-415Red,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylAmb9MtlRollShBlk,9,17-415,Amber,Metal Roller Ball,Shiny Black,False,False,assembly_stock_unavailable,CpRoll17-415ShnBlk,,,True,not deployed
GBCyl9SpryTur,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,,Spry17-415Tur,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylAmb9MtlRollShnGl,9,17-415,Amber,Metal Roller Ball,Shiny Gold,False,False,assembly_stock_unavailable,CpRoll17-415ShnGl,,,True,not deployed
GBCylAmb9SpryGl,9,17-415,Amber,Fine Mist Sprayer,Gold,True,True,,Spry17-415Gl,missing_dip_tube,,False,not deployed
GBCylAmb9MtlRollShnSl,9,17-415,Amber,Metal Roller Ball,Shiny Silver,False,False,assembly_stock_unavailable,CpRoll17-415ShnSl,,,True,not deployed
GBCylAmb9SpryMattSl,9,17-415,Amber,Fine Mist Sprayer,Matte Silver,True,True,,Spry17-415MattSl,missing_dip_tube,,False,not deployed
GBCyl50RollBlk,50,16mm,Clear,Plastic Roller Ball,Black,True,True,,GBCyl50RollBlk,,,False,not deployed
