productId,websiteSku,graceSku,category,family,shape,color,capacity,capacityMl,capacityOz,applicator,capColor,trimColor,capStyle,capHeight,ballMaterial,neckThreadSize,heightWithCap,heightWithoutCap,diameter,bottleWeightG,caseQuantity,qbPrice,webPrice1pc,webPrice10pc,webPrice12pc,stockStatus,itemName,itemDescription,imageUrl,productUrl,dataGrade,bottleCollection,fitmentStatus,graceDescription,assemblyType,componentGroup,verified,importSource
BB-GB-015-0033,GBCrcl15RollPinkDot,GB-CIR-CLR-15ML-ROL-PKDT,Glass Bottle,Circle,,Clear,15 ml (0.51 oz),15,0.51,Plastic Roller Ball,,,,,,13-415,,,,,,,0.81,,0.77,In Stock,"Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and pink cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pri","Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and pink cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Pri",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15RollPinkDot.gif,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-pink-cap-with-dots,,Circle,,,3-part,,false,grace_products_final_json
BB-GB-015-0143,GBSqr15MtlRollSlMatt,GB-SQR-CLR-15ML-MRL-MSLV,Glass Bottle,Square,,Clear,15 ml (0.51 oz),15,0.51,Metal Roller Ball,,,,,,13-415,,,,,,,0.85,,0.81,In Stock,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e","Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e",https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollSlMatt.gif,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap,,Square,,,3-part,,false,grace_products_final_json
BB-GB-030-0091,GBElg30SpryMattGl,GB-ELG-CLR-30ML-SPR-MGLD,Glass Bottle,Elegant,,Clear,30 ml (1.01 oz),30,1.01,Perfume Spray Pump,,,,,,15-415,,,,,,,2.25,,2.14,In Stock,"Elegant design 30 ml, clear glass bottle with sprayer and matte gold cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each","Elegant design 30 ml, clear glass bottle with sprayer and matte gold cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBElg30SpryMattGl.gif,https://www.bestbottles.com/product/elegant-design-30-ml-clear-glass-bottle-sprayer-matte-gold-cap,,Elegant,,,2-part,,false,grace_products_final_json
BB-GB-050-0158,GBSlk50AnSpGl,GB-SLK-CLR-50ML-ASP-GLD,Glass Bottle,Sleek,,Clear,50 ml (1.69 oz),50,1.69,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,5.55,,5.27,In Stock,"Sleek design 50 ml, 1.7oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your","Sleek design 50 ml, 1.7oz  clear glass bottle  with gold vintage style sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of your",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50AnSpGl.gif,https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-gold-vintage-style-sprayer-shiny-gold-collar-cap,,Sleek,,,2-part,,false,grace_products_final_json
BB-GB-128-0050,GBRndFrst128AnSpTslLvn,GB-RND-FRS-128ML-ASP-05,Glass Bottle,Round,,Frosted,128 ml (4.33 oz),128,4.33,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,7.15,,6.79,In Stock,"Round design 128 ml, 4.33oz frosted glass bottle with Lavender vintage style bulb sprayer with Tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enha","Round design 128 ml, 4.33oz frosted glass bottle with Lavender vintage style bulb sprayer with Tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enha",https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpTslLvn.gif,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-lavender-vintage-style-sprayer-with-tassel-shiny-silver-collar,,Round,,,2-part,,false,grace_products_final_json
BB-AL-120-0002,Alu120mlLotionPumpWhite,AB-ALU-CLR-120ML-LPM-WHT,Aluminum Bottle,Aluminum Bottle,,,120 ml (4.06 oz),120,4.06,,,,,,,20-410,,,,,,,0.35,,0.33,In Stock,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion white. For use with lotion or treatment pump. Price Each","Empty brushed aluminum Cylinder bottle with lotion white. Capacity: 120 ml, 4 ounces For use with lotion or treatment pump.",https://www.bestbottles.com/images/store/enlarged_pics/Alu120mlLotionPumpWhite.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-white-lotion-pump,,Aluminum Bottle,,,2-part,,false,grace_products_final_json
BB-GB-010-0005,GBAtom10Gr,GB-CYL-GRN-10ML-ATM-GRN,Metal Atomizer,Atomizer,,Green,10 ml (0.34 oz),10,0.34,Atomizer,,,,,,17mm,,,,,,,3.15,,2.99,In Stock,"Green atomizer design 10 ml bottle . For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Green atomizer design 10 ml bottle . For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Gr.gif,https://www.bestbottles.com/product/green-atomizer-design-10-ml-bottle,,Atomizer Collection,,,complete-set,,false,grace_products_final_json
BB-GB-100-0360,LBElgFrst100LtnClOvrCap,LB-ELG-FRS-100ML-LPM-COCP,Glass Bottle,Elegant,,Frosted,100 ml (3.38 oz),100,3.38,Lotion Pump,,,,,,18-415,,,,,,,3.8,,3.61,In Stock,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegan","Elegant design 100 ml, 3 1/2oz frosted glass bottle with with a matte silver collar treatment pump and clear overcap. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Elegan",https://www.bestbottles.com/images/store/enlarged_pics/LBElgFrst100LtnClOvrCap.gif,https://www.bestbottles.com/product/elegant-design-105-ml-frosted-glass-bottle-clear-over-the-cap-lotion-pump-matte-silver-collar-cap,,Elegant,,,2-part,,false,grace_products_final_json
BB-GB-100-0026,GBCrcl100RdcrShnBlk,GB-CIR-CLR-100ML-RDC-SBLK,Glass Bottle,Circle,,Clear,100 ml (3.38 oz),100,3.38,Reducer,,,,,,18-415,,,,,,,2.02,,1.92,In Stock,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with reducer and black shiny cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size.","Circle design 100 ml, 3 1/2oz  clear glass bottle  with reducer and black shiny cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100RdcrShnBlk.gif,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-black-shiny-cap,,Circle,,,3-part,,false,grace_products_final_json
BB-GB-015-0034,GBCrcl15RollSlDot,GB-CIR-CLR-15ML-ROL-SLDT,Glass Bottle,Circle,,Clear,15 ml (0.51 oz),15,0.51,Plastic Roller Ball,,,,,,13-415,,,,,,,0.81,,0.77,In Stock,"Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. P","Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and silver cap with dots. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. P",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15RollSlDot.gif,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-silver-cap-with-dots,,Circle,,,3-part,,false,grace_products_final_json
BB-GB-015-0144,GBSqr15MtlRollSlSh,GB-SQR-CLR-15ML-MRL-SSLV,Glass Bottle,Square,,Clear,15 ml (0.51 oz),15,0.51,Metal Roller Ball,,,,,,13-415,,,,,,,0.85,,0.81,In Stock,"Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e","Square design 15ml, 1/2oz Clear glass bottle with metal roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price e",https://www.bestbottles.com/images/store/enlarged_pics/GBSqr15MtlRollSlSh.gif,https://www.bestbottles.com/product/square-design-15-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,,Square,,,3-part,,false,grace_products_final_json
BB-GB-030-0101,GBElgFrst30SpryShnGl,GB-ELG-FRS-30ML-SPR-SGLD,Glass Bottle,Elegant,,Frosted,30 ml (1.01 oz),30,1.01,Perfume Spray Pump,,,,,,15-415,,,,,,,2.75,,2.61,In Stock,"Elegant design 30 ml, Frosted glass bottle with sprayer and shiny gold cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each","Elegant design 30 ml, Frosted glass bottle with sprayer and shiny gold cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBElgFrst30SpryShnGl.gif,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-shiny-gold-cap,,Elegant,,,2-part,,false,grace_products_final_json
BB-GB-050-0159,GBSlk50AnSpIvyGl,GB-SLK-CLR-50ML-ASP-IVGD,Glass Bottle,Sleek,,Clear,50 ml (1.69 oz),50,1.69,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,5.55,,5.27,In Stock,"Sleek design 50 ml, 1.7oz  clear glass bottle  with ivory vintage style bulb sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of","Sleek design 50 ml, 1.7oz  clear glass bottle  with ivory vintage style bulb sprayer with shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty of",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50AnSpIvyGl.gif,https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-ivory-vintage-style-bulb-sprayer-shiny-gold-collar-cap,,Sleek,,,2-part,,false,grace_products_final_json
BB-GB-128-0052,GBRndFrst128AnSpTslPnk,GB-RND-FRS-128ML-ASP-07,Glass Bottle,Round,,Frosted,128 ml (4.33 oz),128,4.33,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,7.15,,6.79,In Stock,"Round design 128 ml, 4.33oz frosted glass bottle with Pink vintage style bulb sprayer with tassel and shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance t","Round design 128 ml, 4.33oz frosted glass bottle with Pink vintage style bulb sprayer with tassel and shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance t",https://www.bestbottles.com/images/store/enlarged_pics/GBRndFrst128AnSpTslPnk.gif,https://www.bestbottles.com/product/round-design-128-ml-frosted-glass-bottle-pink-vintage-style-sprayer-with-tassel-shiny-gold-collar,,Round,,,2-part,,false,grace_products_final_json
BB-GB-128-0080,LBRnd128LtnShnGl,LB-RND-CLR-128ML-LPM-SGLD,Glass Bottle,Round,,Clear,128 ml (4.33 oz),128,4.33,Lotion Pump,,,,,,18-415,,,,,,,3.05,,2.9,In Stock,"Round design 128 ml, 4.33oz clear glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Round design bottle is available in 2 sizes - 78","Round design 128 ml, 4.33oz clear glass bottle with shiny gold lotion pump. For use with serums, light creams, moisturizers, facial oils or face oils, beard oils, body lotions, body wash, and hair products. Round design bottle is available in 2 sizes - 78",https://www.bestbottles.com/images/store/enlarged_pics/LBRnd128LtnShnGl.gif,https://www.bestbottles.com/product/round-design-128-ml-glass-bottle-shiny-gold-lotion-pump-and-cap,,Round,,,2-part,,false,grace_products_final_json
BB-GB-010-0006,GBAtom10Lv,GB-CYL-CLR-10ML-ATM-LVN,Metal Atomizer,Atomizer,,Clear,10 ml (0.34 oz),10,0.34,Atomizer,,,,,,17mm,,,,,,,3.15,,2.99,In Stock,"Lavender atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each","Lavender atomizer design 10 ml bottle. For use with perfumes, Colognes, eau de Parfum. Refillable, travel size atomizer. Can be laser engraved and customized. Great for gifts and promotion. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBAtom10Lv.gif,https://www.bestbottles.com/product/lavender-atomizer-design-10-ml-bottle,,Atomizer Collection,,,complete-set,,false,grace_products_final_json
BB-AL-120-0001,Alu120mlLotionPumpBlack,AB-ALU-CLR-120ML-LPM-BLK,Aluminum Bottle,Aluminum Bottle,,,120 ml (4.06 oz),120,4.06,,,,,,,20-410,,,,,,,1.3,,1.24,In Stock,"Cylinder shaped, brushed aluminum 120 ml bottle with lotion black. For use with lotion or treatment pump. Price Each","Empty brushed aluminum Cylinder bottle with lotion black. Capacity: 120 ml, 4 ounces For use with lotion or treatment pump.",https://www.bestbottles.com/images/store/enlarged_pics/Alu120mlLotionPumpBlack.gif,https://www.bestbottles.com/product/Cylinder-shaped-brushed-aluminum-120ml-bottle-black-lotion-pump,,Aluminum Bottle,,,2-part,,false,grace_products_final_json
BB-GB-100-0020,GBCrcl100RdcrBrwnLthr,GB-CIR-CLR-100ML-RDC-01,Glass Bottle,Circle,,Clear,100 ml (3.38 oz),100,3.38,Reducer,,,,,,18-415,,,,,,,2.3,,2.19,In Stock,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with reducer and brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100m","Circle design 100 ml, 3 1/2oz  clear glass bottle  with reducer and brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100m",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100RdcrBrwnLthr.gif,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-reducer-brown-faux-leather-cap,,Circle,,,3-part,,false,grace_products_final_json
BB-GB-015-0035,GBCrcl15RollSlMatt,GB-CIR-CLR-15ML-ROL-MSLV,Glass Bottle,Circle,,Clear,15 ml (0.51 oz),15,0.51,Plastic Roller Ball,,,,,,13-415,,,,,,,0.74,,0.7,In Stock,"Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price","Circle design 15ml, 1/2oz Clear glass bottle with plastic roller ball plug and matte silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, classic style bottle good for promotions and decants. Price",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15RollSlMatt.gif,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-silver-cap,,Circle,,,3-part,,false,grace_products_final_json
BB-GB-028-0003,GBMtlRoll28Wht,GB-CYL-CLR-28ML-MRL-02,Glass Bottle,Cylinder,,Clear,28 ml (0.95 oz),28,0.95,Metal Roller Ball,,,,,,16mm,,,,,,,1.15,,1.09,In Stock,"Cylinder style 28 ml bottle with metal roller ball plug and white cap. For use with fragrances, oils, massage oils, light lotions and ointments. Roll-on plug has a large roller ball. Price Each","Cylinder style 28 ml bottle with metal roller ball plug and white cap. For use with fragrances, oils, massage oils, light lotions and ointments. Roll-on plug has a large roller ball. Price Each",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl28MtlRollWht.gif,https://www.bestbottles.com/product/cylinder-style-28-ml-glass-bottle-metal-roll-on-and-white-cap,,Cylinder,,,3-part,,false,grace_products_final_json
BB-GB-030-0100,GBElgFrst30SpryShSl,GB-ELG-FRS-30ML-SPR-SSLV,Glass Bottle,Elegant,,Frosted,30 ml (1.01 oz),30,1.01,Perfume Spray Pump,,,,,,15-415,,,,,,,2.75,,2.61,In Stock,"Elegant design 30 ml, Frosted glass bottle with sprayer and shiny silver cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each","Elegant design 30 ml, Frosted glass bottle with sprayer and shiny silver cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Elegant design is a family of bottles availabel in many sizes. Price each",https://www.bestbottles.com/images/store/enlarged_pics/GBElgFrst30SpryShSl.gif,https://www.bestbottles.com/product/elegant-design-30-ml-frosted-glass-bottle-sprayer-shiny-silvercap,,Elegant,,,2-part,,false,grace_products_final_json
BB-GB-050-0174,GBSlk50AnSpWht,GB-SLK-CLR-50ML-ASP-WHT,Glass Bottle,Sleek,,Clear,50 ml (1.69 oz),50,1.69,Vintage Bulb Sprayer,,,,,,18-415,,,,,,,5.55,,5.27,In Stock,"Sleek design 50 ml, 1.7oz  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty","Sleek design 50 ml, 1.7oz  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk50AnSpWht.gif,https://www.bestbottles.com/product/sleek-design-50-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap,,Sleek,,,2-part,,false,grace_products_final_json
