bodyId,builderBodyId,family,shape,capacityMl,neck,category,compatibilityClass,classSource,glassVariants,currentRecords,retiredRecords,fitmentTypes,heightWithoutCapMm,widthMm,diameterMm,dimsHeightBareMm,dimsDiameterMm,dimsConfidence,dimsSource,representativeGraceSku,representativeWebsiteSku,capOffPlateRecords,capOffPlateExample,status,neckStatus,notes,source,confidence
cylinder-5ml-13-415,cylinder-5ml|13-415|Glass Bottle,Cylinder,,5,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear; Cobalt Blue,70,1,Cap/Closure; Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,53.0,17.0,17.0,53.0,17.0,high,live bestbottles.com,GB-CYL-BLU-5ML-CAP-SBLK,GBCylBlu5BlkShSht,70,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-5ml-clear-13-415/GBCyl5Sl/594a2bde1e86871fe8af6f4115e27cba1f9c742f244101e7547dd44b6d244657.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-5.5ml-13-415,cylinder-5.5ml|13-415|Glass Bottle,Cylinder,,5.5,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,1,0,Fine Mist Sprayer,53.0,17.0,17.0,,,,,GB-CYL-CLR-5ML-SPR-MBLK,GBCyl5SpryBlkMatt,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-5.5ml-clear-13-415/GBCyl5SpryBlkMatt/27761ae89e44c56004db1f4452d7f772fd3f06889d69f60f5a35323aae3284db.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-9ml-13-415,cylinder-9ml|13-415|Glass Bottle,Cylinder,,9,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear; Frosted,72,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,106.0,18.0,18.0,,,,,GB-CYL-CLR-9ML-GLD-T,GBTallCyl9Gl,72,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-9ml-clear-13-415/GBTallCyl9SpryBlkMatt/0309387e34192ba2a2194a4c7944ac22c9582d491399af9d7cb30403fbc5dd02.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
elegant-15ml-13-415,elegant-15ml|13-415|Glass Bottle,Elegant,,15,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear; Frosted,59,27,Cap/Closure; Fine Mist Sprayer; Metal Roller Ball; N/A; Plastic Roller Ball,61.0,36.0,36.0,61.0,36.0,verified,live bestbottles.com GBElg15BlkSht,GB-ELG-CLR-15ML-BLK-S-01,GBElg15BlkSht,57,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/elegant-15ml-clear-13-415/GBElg15RollSlSh/3a73f7134529bf2b8c3235874b290797a2fcd1ea8120561b56e38dbe724eed0e.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
flair-15ml-13-415,flair-15ml|13-415|Glass Bottle,Flair,,15,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,30,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,56.0,41.0,41.0,56.0,41.0,high,live bestbottles.com,GB-FLR-CLR-15ML-BLK-S,GBFlair15BlkSht,30,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/flair-15ml-clear-13-415/GBFlair15RollSlDot/351cde52e29d5c348629ce5d21e9a60609c48ab3c7aa55a1b848011c251e2ae4.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
pillar-9ml-13-415,pillar-9ml|13-415|Glass Bottle,Pillar,,9,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,3,0,N/A,57.0,21.0,21.0,57.0,21.0,high,live bestbottles.com,GB-PIL-CLR-9ML-CAP-BLK,GBPillar9BlkShSht,0,,current,thread,,convex:products (dev) 2026-09-24,high
plastic-bottle-30ml-13-415,plastic-bottle-30ml|13-415|Plastic Bottle,Plastic Bottle,,30,13-415,Plastic Bottle,plastic-bottle,jordan-2026-09-24,Clear,3,0,Fine Mist Sprayer,68.0,23.7,23.7,68.0,28.0,low,live bestbottles.com,CMP-SPR-CLR-30ML,PB1ozSpryNat,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/plastic-bottle-30ml-clear-13-415/PB1ozClearcap/562912193dcb51a6f6038dc590d0350acac041511e9b588b50f361b6414bde71.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
rectangle-10ml-13-415,rectangle-10ml|13-415|Glass Bottle,Rectangle,,10,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,60,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,50.0,29.0,29.0,101.0,17.0,low,live bestbottles.com,GB-RCT-CLR-10ML-BLK-S-01,GBRect10BlkSht,58,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/rectangle-10ml-clear-13-415/GBRect10SpryBlkMatt/0909fd57dd6275bd3f7b6ee4b2efd9f232440c5583974c0df78d75ec87b6b2d8.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
royal-13ml-13-415,royal-13ml|13-415|Glass Bottle,Royal,,13,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,29,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,56.0,43.7,43.7,56.0,40.0,high,live bestbottles.com,GB-RYL-CLR-13ML-BLK-S,GBRoyal13BlkSht,27,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/royal-13ml-clear-13-415/GBRoyal13RollSlDot/fbf34e9278cbe6bd82dadc4875ce396b7200f2506a7d7e3fd442f56467b0ca48.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
sleek-5ml-13-415,sleek-5ml|13-415|Glass Bottle,Sleek,,5,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,30,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,45.0,17.0,17.0,45.0,17.0,high,live bestbottles.com,GB-SLK-CLR-5ML-GLD-T,GBSleek5Gl,30,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/sleek-5ml-clear-13-415/GBSleek5SpryBlkMatt/b807cd1bfeb2722e964312bab53602f75afdbd5247d70cdf5f524a447641352a.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
sleek-8ml-13-415,sleek-8ml|13-415|Glass Bottle,Sleek,,8,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,30,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,66.0,17.0,17.0,66.0,17.0,high,live bestbottles.com,GB-SLK-CLR-8ML-GLD-T,GBSleek8Gl,30,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/sleek-8ml-clear-13-415/GBSleek8SpryBlkMatt/076b8d6952ca4361981494cda6756f942e2cd55e595124d46e0e93cd7bbc6acc.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
square-15ml-13-415,square-15ml|13-415|Glass Bottle,Square,,15,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,29,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,52.0,26.0,26.0,52.0,26.0,high,live bestbottles.com,GB-SQR-CLR-15ML-MRL-BKDT,GBSqr15MtlRollBlkDot,29,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/square-15ml-clear-13-415/GBSqr15MtlRollBlkSh/ed7abfbe4a81d123b3c58fc2846a375091a8f983e140b373c78d3856f829db5c.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
tall-cylinder-9ml-13-415,tall-cylinder-9ml|13-415|Glass Bottle,Tall Cylinder,Standard,9,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,,0,1,,,,,106.0,18.0,high,live bestbottles.com,GBTallCyl9WhtSht,GBTallCyl9WhtSht__RETIRED__GBTallCyl9WhtSht__kd74mjjja5crmqbxhpvhywx6rx85dhg9,0,,retired,thread,,convex:products (dev) 2026-09-24,low
tulip-5ml-13-415,tulip-5ml|13-415|Glass Bottle,Tulip,,5,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Amber,30,0,Fine Mist Sprayer; Metal Roller Ball; Plastic Roller Ball,45.0,23.0,23.0,45.0,23.0,high,live bestbottles.com,GB-CYL-AMB-5ML-GLD-T,GBTulipAmb5Gl,30,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/tulip-5ml-amber-13-415/GBTulipAmb5SpryBlkMatt/41a224db2fb559db22bae74468acb41d3f6abd33c387759f5bb4c673af27c9c6.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
tulip-6ml-13-415,tulip-6ml|13-415|Glass Bottle,Tulip,,6,13-415,Glass Bottle,glass-13-415,glass shares components by neck finish,Clear,30,0,Fine Mist Sprayer; Metal Roller Ball; N/A; Plastic Roller Ball,45.0,23.0,23.0,45.0,23.0,high,live bestbottles.com,GB-CYL-CLR-6ML-GLD-T,GBTulip6Gl,29,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/tulip-6ml-clear-13-415/GBTulip6Gl/ea5362d40f5b895f09670200e1c95d8b110cfa6daea22329976b91fc6248f345.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
vial-2ml-13-425,vial-2ml|13-425|Glass Bottle,Vial,Vial,2,13-425,Glass Bottle,glass-13-425,glass shares components by neck finish,Amber,1,0,,22.0,16.0,16.0,22.0,16.0,low,live bestbottles.com,GB-VIA-AMB-1.5ML-WHT-S,GBVialAmb1o5WhtCapSht,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-2ml-amber-13-425/GBVialAmb1o5WhtCapSht/aadfbeec66e7ff0cd316620f79824e6bfe509e827c30e9fc30aca0d63e5f9516.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
vial-3ml-13-425,vial-3ml|13-425|Glass Bottle,Vial,,3,13-425,Glass Bottle,glass-13-425,glass shares components by neck finish,Blue; Green,3,0,,29.0,14.0,14.0,29.0,14.0,high,live bestbottles.com,GB-GRN-GRN-20ML,GBVGreen2o4WhtCapSht,1,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/1779592258165-396429dc-5554-446a-8ec1-161e15de1340.png?v=1779594224,current,thread,,convex:products (dev) 2026-09-24,high
vial-4ml-13-425,vial-4ml|13-425|Glass Bottle,Vial,,4,13-425,Glass Bottle,glass-13-425,glass shares components by neck finish,Amber; Blue; Clear; Green,12,0,Dropper,45.0,15.0,15.0,45.0,15.0,high,live bestbottles.com,GB-VIA-CLR-3ML-01,GBV1DrmBlkDropper,9,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-4ml-amber-13-425/GBVAmb1DrmWhtCapSht/dd5b6bd0b8fa32b88ac4d7aa637552eaca5ebf1e50aaff4cc1a3eb0e543788eb.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
atomizer-5ml-13mm,atomizer-5ml|13mm|Metal Atomizer,Atomizer,Standard,5,13mm,Metal Atomizer,metal-atomizer,assumed-by-category (not yet ruled),,0,2,,,,,76.0,18.0,high,live bestbottles.com,GB-CYL-BLK-5ML-ATM-BLK-01,GBAtom5Blk__RETIRED__GB-CYL-BLK-5ML-ATM-BLK-01__kd7apc9jynjqdhxggavfx0sbe186ahs2,0,,retired,non-thread,,convex:products (dev) 2026-09-24,low
