bodyId,builderBodyId,family,shape,capacityMl,neck,category,compatibilityClass,classSource,glassVariants,currentRecords,retiredRecords,fitmentTypes,heightWithoutCapMm,widthMm,diameterMm,dimsHeightBareMm,dimsDiameterMm,dimsConfidence,dimsSource,representativeGraceSku,representativeWebsiteSku,capOffPlateRecords,capOffPlateExample,status,neckStatus,notes,source,confidence
marble-decorative-10ml-17.52mm,decorative-10ml|17.52mm|Glass Bottle|marble,Decorative,Marble,10,17.52mm,Glass Bottle,glass-17.52mm,glass shares components by neck finish,Clear,1,0,,80.0,28.0,28.0,,,,,GB-DEC-CLR-10ML-T,GBMtlMrblLarge,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
atomizer-10ml-17mm,atomizer-10ml|17mm|Metal Atomizer,Atomizer,,10,17mm,Metal Atomizer,metal-atomizer,assumed-by-category (not yet ruled),Clear; Cobalt Blue; Green; Pink,11,0,Atomizer,82.0,23.0,23.0,82.0,23.0,high,live bestbottles.com,GB-CYL-BLK-10ML-ATM-BLK-01,GBAtom10Blk,6,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/atomizer-10ml-black-17mm/GBAtom10BlkDot/14a43bc3b6cd95524aca06d4fbad36e18a46e41b42bddee5c82894df96b25857.plateCapOff-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
boston-round-15ml-18-400,boston-round-15ml|18-400|Glass Bottle,Boston Round,,15,18-400,Glass Bottle,glass-18-400,glass shares components by neck finish,Amber; Clear; Cobalt Blue,16,0,Dropper; N/A,68.0,25.0,25.0,68.0,25.0,high,live bestbottles.com,GB-BSR-AMB-15ML-BLK-S,GBBstnAmb15mlBlkCapSht,3,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/boston-round-15ml-clear-18-400/GBBstn15BlkCapSht/398ba898b90ee279b980dbcb05e0c2bce079a019cee342abd730a6837730262a.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
vial-9ml-18-400,vial-9ml|18-400|Glass Bottle,Vial,,9,18-400,Glass Bottle,glass-18-400,glass shares components by neck finish,Clear,2,0,Glass Rod,79.4,20.0,20.0,79.4,20.0,medium,convex export (no live data),GB-CYL-CLR-9ML-S-01,GB09BlackCapSht,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-9ml-clear-18-400/GB09BlackCapApp/86e8dae8937edc8acf104a1294c6793a8756ee44a6724304be705bf710ac7bf4.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
circle-50ml-18-415,circle-50ml|18-415|Glass Bottle,Circle,,50,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,82,3,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,87.0,72.0,72.0,87.0,72.0,verified,live bestbottles.com GBCrcl50AnSpBlk,GB-CIR-CLR-50ML-ASP-01,GBCrcl50AnSpTslMtSl,35,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/circle-50ml-clear-18-415/GBCrcl50SpryMtSl/d9d811b6181ed9f0ba4f7b22cb50ca7f953f7a1ba7539278a3cb384f9d2ec128.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
circle-100ml-18-415,circle-100ml|18-415|Glass Bottle,Circle,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,86,1,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,105.0,89.0,89.0,105.0,89.0,high,live bestbottles.com,GB-CIR-CLR-100ML-ASP-BLK,GBCrcl100AnSpBlk,44,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/circle-100ml-clear-18-415/LBCrcl100LtnClOvrCap/26d685e53e19bacc55c49190b543fd68ad343cd7b3f90d07835d2d71971fda1c.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-25ml-18-415,cylinder-25ml|18-415|Glass Bottle,Cylinder,,25,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,45,0,Dropper; Fine Mist Sprayer; Lotion Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,83.0,32.0,32.0,83.0,32.0,high,live bestbottles.com,LB-CYL-CLR-25ML-LPM-CLR,LBcyl25LtnClOvrCap,27,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-25ml-clear-18-415/LBCyl25LtnMtGl/6ff1e2c19583a2ac5fc79ad88fd954be086bc5339669cd871df608e68f41cb8c.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-30ml-18-415,cylinder-30ml|18-415|Glass Bottle,Cylinder,,30,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,2,0,Fine Mist Sprayer,50.8,42.0,42.0,50.8,42.0,high,convex export (no live data),GB-SPR-CLR-30ML-GLD,GBSpry1ozGl,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-30ml-clear-18-415/GBSpry1ozGl/e8fe4f8339ec30d75077afc3d5138ebd2858e1bd809222640575e9d0df16d6f9.front-off-1000x1100.webp,current,thread,"matrix exception: fixed top-and-base spray pair, not an interchangeable body",convex:products (dev) 2026-09-24,high
cylinder-50ml-18-415,cylinder-50ml|18-415|Glass Bottle,Cylinder,,50,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,117.0,32.0,32.0,117.0,32.0,high,live bestbottles.com,GB-CYL-CLR-50ML-ASP-BLK,GBCyl50AnSpBlk,15,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-50ml-clear-18-415/GBCyl50SpryMtGl/a71bfc932af88d09f1b0d3b0daed7c1c10fa9e7cc9a155d4d45197bc0861c097.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
cylinder-100ml-18-415,cylinder-100ml|18-415|Glass Bottle,Cylinder,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,154.0,35.0,35.0,154.0,35.0,high,live bestbottles.com,GB-CYL-CLR-100ML-ASP-BLK,GBCyl100AnSpBlk,14,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cylinder-100ml-clear-18-415/LBCyl100LtnClOvrCap/87756963619179291e97e6908c515002a24df7aa29ec21b59d0baa24a57fd85c.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
diamond-60ml-18-415,diamond-60ml|18-415|Glass Bottle,Diamond,,60,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,88.0,39.0,39.0,88.0,41.0,high,live bestbottles.com,GB-DMD-CLR-60ML-ASP-BLK,GBDmnd2ozAnSpBlk,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/diamond-60ml-clear-18-415/GBDmnd2ozAnSpTslRed/ddec51e9f8ed1dd6e9963b83304e4815e1cd7bdf48ac521322d629b82430059a.plateCapOff-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
diva-30ml-18-415,diva-30ml|18-415|Glass Bottle,Diva,,30,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,34,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer,81.0,43.0,43.0,81.0,43.0,high,live bestbottles.com,GB-DVA-CLR-30ML-ASP-BLK,GBDiva30AnSpBlk,13,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/diva-30ml-clear-18-415/GBDiva30SpryCu/9ae6f8eef6f07f8d0d4dbbc4b0a55cd257a8f6be8ea02fa8ed72526c70a54014.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
diva-46ml-18-415,diva-46ml|18-415|Glass Bottle,Diva,,46,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,102,45,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,89.0,49.0,49.0,89.0,49.0,verified,live bestbottles.com GBDivaFrst46AnSpBlk,GB-DVA-CLR-46ML-ASP-BLK,GBDiva46AnSpBlk,27,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/diva-46ml-clear-18-415/GBDiva46SpryMtGl/27d5b34b1b5ef568e7950d3eb7b80425756a1013fdcf9e148f0d129f13409d52.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
diva-100ml-18-415,diva-100ml|18-415|Glass Bottle,Diva,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,113.0,64.0,64.0,113.0,64.0,high,live bestbottles.com,GB-DVA-CLR-100ML-ASP-BLK,GBDiva100AnSpBlk,14,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/diva-100ml-clear-18-415/LBDiva100LtnClOvrCap/4f9b8fc8d6efca99ae3f8c4d01743ec8309235b9eb33a4de6054843579859dca.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
elegant-60ml-18-415,elegant-60ml|18-415|Glass Bottle,Elegant,,60,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,94,5,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,86.0,54.0,54.0,86.0,54.0,verified,live bestbottles.com GBElg60AnSpBlk,GB-ELG-CLR-60ML-ASP-01,GBElg60AnSpTslGl,28,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/elegant-60ml-clear-18-415/GBElg60SpryShnGl/f3a4153b10f251330197a0e750667febe42642d9bbf05181cbfd8228420591cc.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
elegant-100ml-18-415,elegant-100ml|18-415|Glass Bottle,Elegant,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,87,4,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,109.0,61.0,61.0,109.0,61.0,high,live bestbottles.com,GB-ELG-CLR-100ML-ASP-BLK,GBElg100AnSpBlk,46,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/elegant-100ml-frosted-18-415/LBElgFrst100LtnMtGl/0d4f2bc166c06db77883d18440055523f3e805bb9cc5a007509c15aaf16ee9b3.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
empire-50ml-18-415,empire-50ml|18-415|Glass Bottle,Empire,,50,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,47,2,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,88.0,37.0,37.0,88.0,37.0,high,live bestbottles.com,GB-EMP-CLR-50ML-ASP-BLK,GBEmp50AnSpBlk,47,https://cdn.sanity.io/images/gh97irjh/production/625c2a62e987a68e38b28c393708f5974c2dd2ba-2080x2288.png,current,thread,,convex:products (dev) 2026-09-24,high
empire-100ml-18-415,empire-100ml|18-415|Glass Bottle,Empire,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,44,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,107.0,46.0,46.0,107.0,46.0,high,live bestbottles.com,GB-EMP-CLR-100ML-ASP-BLK,GBEmp100AnSpBlk,44,https://cdn.sanity.io/images/gh97irjh/production/06fb4a9e231e545b2e1ccb6c37f9f8a5593864d3-2080x2288.png,current,thread,,convex:products (dev) 2026-09-24,high
grace-55ml-18-415,grace-55ml|18-415|Glass Bottle,Grace,,55,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,113.0,52.0,52.0,113.0,52.0,high,live bestbottles.com,GB-GRC-CLR-55ML-ASP-BLK,GBGrce55AnSpBlk,12,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/grace-55ml-clear-18-415/GBGrce55AnSpTslGl/cd7a7d3a2409efac43a5552398d292b9c1972db1770827734aa47764ebca4257.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
round-78ml-18-415,round-78ml|18-415|Glass Bottle,Round,,78,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,86,4,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,73.0,59.0,59.0,73.0,59.0,high,live bestbottles.com,GB-RND-CLR-78ML-ASP-BLK,GBRnd78AnSpBlk,20,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/round-78ml-clear-18-415/GBRnd78SpryCu/eb0ec12b977ac22e34bfe580e33ff6cb4bcfa2594555cedb81a49038af52e8b8.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
round-128ml-18-415,round-128ml|18-415|Glass Bottle,Round,,128,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear; Frosted,92,4,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,83.0,69.0,69.0,83.0,69.0,verified,live bestbottles.com GBRnd128AnSpBlk,GB-RND-CLR-128ML-ASP-BLK,GBRnd128AnSpBlk,14,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/round-128ml-clear-18-415/LBRnd128LtnShnGl/d1f945edd59bb3fc6dc05b679db28d1e8f4d083b4848896228db18631fdaab20.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
sleek-30ml-18-415,sleek-30ml|18-415|Glass Bottle,Sleek,,30,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,38,2,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer,98.0,28.0,28.0,98.0,28.0,high,live bestbottles.com,GB-SLK-CLR-30ML-ASP-BLK,GBSlk30AnSpBlk,14,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/sleek-30ml-clear-18-415/GBSlk30SpryMtGl/28d18bd5679e7100dfbf15d694c0bd4fb91dceeed03c30ece1554aa94db383ff.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
sleek-50ml-18-415,sleek-50ml|18-415|Glass Bottle,Sleek,,50,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,44,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,139.0,28.0,28.0,139.0,28.0,high,live bestbottles.com,GB-SLK-CLR-50ML-ASP-BLK,GBSlk50AnSpBlk,23,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/sleek-50ml-clear-18-415/GBSlk50AnSpTslLvn/74d56df79eb970d86fc1d3587f87823442a1b5c08eb59ac6fe3af30b4da321c4.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
sleek-100ml-18-415,sleek-100ml|18-415|Glass Bottle,Sleek,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,44,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,149.0,36.0,36.0,149.0,36.0,high,live bestbottles.com,GB-SLK-CLR-100ML-ASP-BLK,GBSlk100AnSpBlk,23,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/sleek-100ml-clear-18-415/LBSlk100LtnClOvrCap/53fa78e80e3411b3f0f22081668b7c386dc17dd256e4e396d4b7b2855df9bd93.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
slim-30ml-18-415,slim-30ml|18-415|Glass Bottle,Slim,,30,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,37,2,Dropper; Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer,87.0,30.0,30.0,87.0,30.0,high,live bestbottles.com,GB-SLM-CLR-30ML-ASP-BLK,GBSlm30AnSpBlk,0,,current,thread,,convex:products (dev) 2026-09-24,high
slim-50ml-18-415,slim-50ml|18-415|Glass Bottle,Slim,,50,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,121.0,31.0,31.0,121.0,31.0,high,live bestbottles.com,GB-SLM-CLR-50ML-ASP-BLK,GBSlm50AnSpBlk,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/slim-50ml-clear-18-415/GBSlm50AnSpTslWht/9a2a9f589aff54e709352abdef266b1d3afa88aea9f2a07aaffecdef6f87826e.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
slim-100ml-18-415,slim-100ml|18-415|Glass Bottle,Slim,,100,18-415,Glass Bottle,glass-18-415,glass shares components by neck finish,Clear,43,2,Lotion Pump; Perfume Spray Pump; Reducer; Vintage Bulb Sprayer; Vintage Bulb Sprayer with Tassel,154.0,37.0,37.0,154.0,37.0,high,live bestbottles.com,GB-SLM-CLR-100ML-ASP-BLK,GBSlm100AnSpBlk,9,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/slim-100ml-clear-18-415/GBSlm100AnSpTslBlk/1cfc7b40b4b977826ec57009218d72c497ac8264e5546edc2737abb55945fae6.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
lotion-bottle-30ml-18mm,lotion-bottle-30ml|18mm|Glass Bottle,Lotion Bottle,,30,18mm,Glass Bottle,glass-18mm,glass shares components by neck finish,Clear,1,0,,118.0,33.0,33.0,118.0,33.0,low,convex export (no live data),LB-LTB-CLR-30ML-T,LBMetalSilver1oz,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
boston-round-30ml-20-400,boston-round-30ml|20-400|Glass Bottle,Boston Round,,30,20-400,Glass Bottle,glass-20-400,glass shares components by neck finish,Amber; Clear; Cobalt Blue,53,0,Dropper; Metal Roller Ball; Plastic Roller Ball,78.0,33.0,33.0,78.0,33.0,low,live bestbottles.com,GB-BSR-AMB-30ML-BLK-S,GBBstnAmb1ozBlkCapSht,38,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/boston-round-30ml-clear-20-400/GBBstn1ozMtlRollonMattSl/74b48554ea9fb9d026693bcba7a1a1c1ded219b9a961b425910976cc2ce13a1f.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
boston-round-60ml-20-400,boston-round-60ml|20-400|Glass Bottle,Boston Round,,60,20-400,Glass Bottle,glass-20-400,glass shares components by neck finish,Amber; Clear; Cobalt Blue,54,0,Dropper; Metal Roller Ball; Plastic Roller Ball,94.0,39.0,39.0,94.0,39.0,high,live bestbottles.com,GB-BSR-AMB-60ML-BLK-S,GBBstnAmb2ozBlkCapSht,37,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/boston-round-60ml-clear-20-400/GBBstn2ozMtlRollGl/17687446a9c7c9c08f8f29320ad324a1585aa01a43955914533986ff7c5dba58.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
aluminum-bottle-65ml-20-410,aluminum-bottle-65ml|20-410|Aluminum Bottle,Aluminum Bottle,,65,20-410,Aluminum Bottle,aluminum-bottle,assumed-by-category (not yet ruled),Clear; White,2,0,Lotion Pump,94.0,36.0,36.0,94.0,36.0,high,live bestbottles.com,AB-ALU-CLR-65ML-LPM-BLK,Alu65mlLotionPumpBlack,0,,current,thread,,convex:products (dev) 2026-09-24,high
aluminum-bottle-100ml-20-410,aluminum-bottle-100ml|20-410|Aluminum Bottle,Aluminum Bottle,,100,20-410,Aluminum Bottle,aluminum-bottle,assumed-by-category (not yet ruled),Clear,1,0,Fine Mist Sprayer,127.8,50.0,50.0,127.8,50.0,low,convex export (no live data),AB-ALU-CLR-100ML-SPR-BLK,Alu100mlSprayBlack,0,,current,thread,,convex:products (dev) 2026-09-24,high
aluminum-bottle-120ml-20-410,aluminum-bottle-120ml|20-410|Aluminum Bottle,Aluminum Bottle,,120,20-410,Aluminum Bottle,aluminum-bottle,assumed-by-category (not yet ruled),Clear,2,0,Lotion Pump,114.0,45.0,45.0,114.0,45.0,high,live bestbottles.com,AB-ALU-CLR-120ML-LPM-BLK,Alu120mlLotionPumpBlack,0,,current,thread,,convex:products (dev) 2026-09-24,high
aluminum-bottle-250ml-20-410,aluminum-bottle-250ml|20-410|Aluminum Bottle,Aluminum Bottle,Standard,250,20-410,Aluminum Bottle,aluminum-bottle,assumed-by-category (not yet ruled),Clear,1,0,Fine Mist Sprayer,127.8,60.0,60.0,155.0,50.0,low,live bestbottles.com,AB-ALU-CLR-250ML-SPR-BLK,Alu250mlSprayBlack,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/aluminum-bottle-250ml-clear-20-410/Alu250mlSprayBlack/4803a63d26b15b93eaf71b9fcefabe658f7b005fb9c2395e40e2298653bc8cff.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
aluminum-bottle-500ml-20-410,aluminum-bottle-500ml|20-410|Aluminum Bottle,Aluminum Bottle,,500,20-410,Aluminum Bottle,aluminum-bottle,assumed-by-category (not yet ruled),Clear,1,0,,178.0,74.0,74.0,178.0,74.0,low,live bestbottles.com,AB-ALU-CLR-500ML,Alu500,0,,current,thread,,convex:products (dev) 2026-09-24,high
cream-jar-3ml-20mm,cream-jar-3ml|20mm|Glass Jar,Cream Jar,,3,20mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Clear; Cobalt Blue,2,0,,18.0,35.0,35.0,18.0,35.0,low,live bestbottles.com,CJ-JAR-CBL-9ML,CJBlu3,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-3ml-clear-20mm/CJClr3/1e48ae77e8355ab6ee0dab4390fa2ad5e1867ba2666ee577d9a31fba0b2e8ce2.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-5ml-27mm,cream-jar-5ml|27mm|Glass Jar,Cream Jar,,5,27mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Amber; Clear,2,0,,24.0,31.0,31.0,16.0,31.0,low,live bestbottles.com,CJ-JAR-AMB-5ML-BLK,CJAmb5mlBlkCap,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-5ml-amber-27mm/CJAmb5mlBlkCap/b62aab5cdd4d89d01613a7ca5532c29e5f0dc81794432b095490f973f2e4e3e0.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-15ml-37mm,cream-jar-15ml|37mm|Glass Jar,Cream Jar,,15,37mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Clear,2,0,,26.0,55.0,55.0,31.0,48.0,low,live bestbottles.com,CJ-JAR-CLR-15ML-PNK,CJClr15Pnk,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-15ml-clear-37mm/CJClr15Pnk/32218d5da1285cc73060f66f6dcb70ca8fccd3c2db7ffcf223ea1932c8a5d00d.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-20ml-40mm,cream-jar-20ml|40mm|Glass Jar,Cream Jar,,20,40mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),White,1,0,,33.9,55.0,55.0,33.9,55.0,low,convex export (no live data),CJ-JAR-20ML-WHT,CJWhite20,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-20ml-white-40mm/CJWhite20/f6b605b09c0df28635968ddd88e1f29cd4d64af3ff2ef68edd2b676601a4d770.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-30ml-45mm,cream-jar-30ml|45mm|Glass Jar,Cream Jar,,30,45mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Amber; Frosted,4,0,,35.0,52.0,52.0,35.0,52.0,high,live bestbottles.com,CJ-JAR-AMB-30ML-BLK,CJAmb30BlkCap,3,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-30ml-amber-45mm/CJAmb30SlCap/8c220cb5d6d66f316b7ca16499a152dc93c6500916584dc93ae4f7a707ae39c9.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-40ml-48/400,cream-jar-40ml|48/400|Glass Jar,Cream Jar,,40,48/400,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Amber; Frosted,4,0,,42.0,56.0,56.0,,,,,CJ-JAR-AMB-40ML-01,CreamJarAmb40Blkcap,3,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-40ml-amber-48-400/CJAmb40SlCap/64b202e3039267857bb8843dcbe0ac650e9133cc36d04451321b1d9ce99b8a04.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-60ml-58mm,cream-jar-60ml|58mm|Glass Jar,Cream Jar,,60,58mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),Frosted,1,0,,51.0,59.0,59.0,51.0,59.0,low,live bestbottles.com,CJ-JAR-FRS-60ML,CreamJarFrstdPlsBlkPls2oz,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
cream-jar-63ml-58mm,cream-jar-63ml|58mm|Glass Jar,Cream Jar,,63,58mm,Glass Jar,glass-jar,assumed-by-category (not yet ruled),White,1,0,,51.0,59.0,59.0,51.0,59.0,low,convex export (no live data),CJ-JAR-60ML-WHT,CJWhitePlsSlFr2oz,1,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/cream-jar-63ml-white-58mm/CJWhitePlsSlFr2oz/84cc22ef07148449c3d1f1f2e44e0a8d27f542e06aaddd426245e2e2459d9096.front-off-1000x1100.webp,current,non-thread,,convex:products (dev) 2026-09-24,low
vial-2ml-8-425,vial-2ml|8-425|Glass Bottle,Vial,,2,8-425,Glass Bottle,glass-8-425,glass shares components by neck finish,Amber; Clear,4,0,,35.0,12.0,12.0,35.0,12.0,high,live bestbottles.com,GB-VIA-CLR-2ML-BLK-T,GBVialClr2mlBlackCap,2,https://yzy7l20k4yt6znzz.public.blob.vercel-storage.com/plates/vial-2ml-amber-8-425/GBVAmb2WhtCap/8ce2639283c5c5fd499432dba0befbf8d5893ffe49b9a063f3979da8f3b05707.front-off-1000x1100.webp,current,thread,,convex:products (dev) 2026-09-24,high
heart-decorative-4ml-8mm,decorative-4ml|8mm|Glass Bottle|heart,Decorative,Heart,4,8mm,Glass Bottle,glass-8mm,glass shares components by neck finish,Frosted,2,0,Glass Stopper,46.0,32.0,32.0,46.0,32.0,high,live bestbottles.com,GB-DEC-FRS-4ML-GST-GLD-T,GBHeartFrst4KeyGld,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
apothecary-15ml-Ground,apothecary-15ml|Ground|Glass Bottle,Apothecary,,15,Ground,Glass Bottle,glass-Ground,glass shares components by neck finish,Cobalt Blue,1,0,Glass Stopper,58.0,30.0,30.0,,,,,GB-APT-BLU-15ML-BLU-T,GB15ApthBlue,0,,current,non-thread,,convex:products (dev) 2026-09-24,low
