graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-CYL-FRS-9ML-T-14,GBTallCylFrst9RollGlMatt,Cylinder,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price each",Frosted,9 ml (0.3 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-CYL-FRS-9ML-T-14__GBTallCylFrst9RollGlMatt__pdp-main__v001.png,
GB-ELG-CLR-15ML-SPR-MBLU,GBElg15SpryBluMatt,Elegant,"Elegant design 15ml, 1/2oz Clear glass bottle with matte blue spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants. Price each",Clear,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-CLR-15ML-SPR-MBLU__GBElg15SpryBluMatt__pdp-main__v001.png,
GB-CIR-CLR-50ML-AST-WHT,GBCrcl50AnSpTslWht,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with White vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-AST-WHT_1779525304941_u060cc.png,
GB-CYL-FRS-9ML-T-15,GBTallCylFrst9RollGlSh,Cylinder,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with plastic roller ball plug and shiny gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price each",Frosted,9 ml (0.3 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-CYL-FRS-9ML-T-15__GBTallCylFrst9RollGlSh__pdp-main__v001.png,
GB-ELG-CLR-15ML-SPR-MCPR-01,GBElg15SpryCuMatt,Elegant,"Elegant design 15ml, 1/2oz Clear glass bottle with matte copper spray. For use with fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants. Price each",Clear,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-CLR-15ML-SPR-MCPR-01__GBElg15SpryCuMatt__pdp-main__v001.png,
GB-CIR-CLR-50ML-AST-PNK,GBCrcl50AnSpTslPnk,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with Pink vintage style bulb sprayer with tassel and shiny gold collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance th",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-AST-PNK_1779525312611_pl770k.png,
GB-DVA-FRS-46ML-DRP-CPR,GBDiva46DrpCu,Diva,"Diva design 46 ml, 1.64oz  clear glass bottle  with white dropper with shiny copper collar cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizer, and beard oils.Our Classic Diva bottle family is available in",Clear,46 ml (1.56 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/paper-doll/master_corrected_1779507607226_ess4ke.png,
GB-CYL-FRS-9ML-T-19,GBTallCylFrst9RollSlSh,Cylinder,"Tall cylinder design 9ml, 1/3oz frosted glass bottle with plastic roller ball plug and shiny silver cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable, slender bottle with attractive heavy base. Price ea",Frosted,9 ml (0.3 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-CYL-FRS-9ML-T-19__GBTallCylFrst9RollSlSh__pdp-main__v001.png,
GB-ELG-CLR-15ML-SPR-MGLD,GBElg15SpryGlMatt,Elegant,"Elegant design 15ml, 1/2oz Clear glass bottle with matte gold spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants. Price each",Clear,15 ml (0.51 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/best-bottles/reference-images/GB-ELG-CLR-15ML-SPR-MGLD__GBElg15SpryGlMatt__pdp-main__v001.png,
GB-CIR-CLR-50ML-ASP-02,GBCrcl50AnSpTslRed,Circle,"Circle design 50 ml, 1.7oz  clear glass bottle  with Red vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance th",Clear,50 ml (1.69 oz),madison_generated_evidence,https://likkskifwsrvszxdvufw.supabase.co/storage/v1/object/public/generated-images/4ab1ac72-cd7e-4faf-9152-5aa5f2862411/d4cd4ae9-a9a8-4ea6-ab6f-fd1e19078e5e/best-bottles/reference-imports/Circle/GB-CIR-CLR-50ML-ASP-02_1779525264056_r6g3b8.png,
