graceSku,websiteSku,family,itemName,color,capacity,coverageSource,coverageEvidenceUrl,referencePath
GB-BSR-AMB-30ML-WHT-T-02,GBBstnAmb1ozWhtDropperShnGlTrim,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle and white dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655281857_c9656u.png?v=1779660534,
GB-DMD-CLR-60ML-ASP-RED,GBDmnd2ozAnSpRed,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with red vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529903317_m33klj_57ec9032-679f-4ba9-856a-f26a7255b64b.png?v=1779530295,
GB-ELG-CLR-100ML-RDC-LBLT,GBElg100RdcrLBrwnLthr,Elegant,"Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and light brown faux leather cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 6",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314884579_3x7x2z.png?v=1780901303,
GB-BSR-CLR-30ML-RBL-MGLD,GBBstn1ozRollonMattGl,Boston Round,"Boston round design 30ml, 1oz Clear glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each",Clear,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779650932453_zrm5xu_e5c7935f-bb57-4b58-be3e-fd7a41dc600e.png?v=1779661357,
GB-BSR-AMB-30ML-WHT-T-03,GBBstnAmb1ozWhtDrprShnSlTrim,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle and white dropper with a shiny silver trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655331448_2olpqg.png?v=1779660531,
GB-DMD-CLR-60ML-ASP-IVSL,GBDmnd2ozAnSpIvySl,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with ivory vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779529968729_vvimn8.png?v=1779530291,
GB-ELG-CLR-100ML-RDC-MSLV-T,GBElg100RdcrMtSlTall,Elegant,"Elegant design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Elegant bottle is a family of bottles available in 5ml, 15ml, 30ml, 60ml and",Clear,100 ml (3.38 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1780314944736_4rco66.png?v=1780901299,
GB-BSR-AMB-30ML-RON-MGLD,GBBstnAmb1ozRollonMattGl,Boston Round,"Boston round design 30ml, 1oz Amber glass bottle with plastic roller ball plug and matte gold cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. Refillable bottle with large, 12mm diameter roller ball. Price each",Amber,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779651387701_01zich.png?v=1779661058,
GB-BSR-CBL-30ML-BLK-T-02,GBBstnBlu1ozBlkDropperShnGlTrim,Boston Round,"Boston round design 30ml, 1oz Cobalt blue glass bottle and black dropper with a shiny gold trim cap. For use with perfume oils, diffuser oils, serums, primers, facial oils or face oils, moisturizers, and beard oils. Price each",Cobalt Blue,30 ml (1.01 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779655446800_66alak.png?v=1779660523,
GB-DMD-CLR-60ML-ASP-MSLV,GBDmnd2ozAnSpMtSl,Diamond,"Diamond design 60ml, 2 ounce  clear glass bottle  with matte silver vintage style sprayer with matte silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the be",Clear,60 ml (2.03 oz),convex_shopify_cdn,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779530028284_5qzvjt.png?v=1779530287,
