id,grace_sku,website_sku,category,family,capacity,neck_thread_size,item_name,item_description,image_url,price_1,price_10,price_12,in_stock,product_url,compatible_components_count,color,canonical_slug,colorSource,csvLastUpdatedAt,convexSyncedAt
BB-GB-100-0280,GB-SLK-CLR-100ML-RDC-SSLV,GBSlk100RdcrShnSl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and shiny silver cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and shiny silver cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrShnSl.gif,2.02,,1.92,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-reducer-shiny-silver-cap,45.0,clear,sleek-100ml-reducer,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0274,GB-SLK-CLR-100ML-RDC-MSLV,GBSlk100RdcrMtSl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrMtSl.gif,2.02,,1.92,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-reducer-silver-matte-cap,45.0,clear,sleek-100ml-reducer,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0278,GB-SLK-CLR-100ML-RDC-SBLK-T,GBSlk100RdcrShnBlkTall,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall black shiny cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall black shiny cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrShnBlkTall.gif,2.02,,1.92,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-reducer-tall-black-shiny-cap,45.0,black,sleek-100ml-black-reducer,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0275,GB-SLK-CLR-100ML-RDC-MSLV-T,GBSlk100RdcrMtSlTall,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml an","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and tall silver matte cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml an",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrMtSlTall.gif,2.02,,1.92,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-reducer-tall-silver-matte-cap,45.0,clear,sleek-100ml-reducer,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0281,GB-SLK-CLR-100ML-RDC-WHT,GBSlk100RdcrWht,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pri","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with reducer and white cap. For use with cologne, aftershave, splash on, and perfume or fragrance oil, beard oils. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pri",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100RdcrWht.gif,2.02,,1.92,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-reducer-white-cap,45.0,white,sleek-100ml-white-reducer,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0285,GB-SLK-CLR-100ML-SPR-SBLK,GBSlk100SpryShnBlk,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny black spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pr","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny black spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pr",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100SpryShnBlk.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-black-spray-pump-and-cap,45.0,black,sleek-100ml-black-finemist,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0286,GB-SLK-CLR-100ML-SPR-SGLD,GBSlk100SpryShnGl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pri","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny gold spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. Pri",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100SpryShnGl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-gold-spray-pump-and-cap,45.0,clear,sleek-100ml-finemist,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0287,GB-SLK-CLR-100ML-SPR-SSLV,GBSlk100SpryShnSl,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. P","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with shiny silver spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Sleek design bottle is a family of bottles available in 5ml, 8ml, 30m, 50ml and 100ml. P",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100SpryShnSl.gif,3.05,,2.9,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-shiny-silver-spray-and-cap,45.0,clear,sleek-100ml-finemist,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0383,LB-SLK-CLR-100ML-LPM-COCP-T,LBSlk100WhtRectClOverCap,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with white rectangular with clear over the cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. . Sleek design bottle is a family of bottles available in 5ml, 8ml, 30","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with white rectangular with clear over the cap. For use with perfume or fragrance oil, essential oils, aromatic oils and aromatherapy. . Sleek design bottle is a family of bottles available in 5ml, 8ml, 30",https://www.bestbottles.com/images/store/enlarged_pics/LBSlk100WhtRectClOverCap.gif,3.75,,3.56,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-white-rectangular-clear-over-the-cap,45.0,white,sleek-100ml-white,text-mined,2026-06-24T22:18:29.034Z,
BB-GB-100-0269,GB-SLK-CLR-100ML-ASP-WHT,GBSlk100AnSpWht,Glass Bottle,Sleek,100 ml (3.38 oz),18-415,"Sleek design 100 ml, 3 1/2oz  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau","Sleek design 100 ml, 3 1/2oz  clear glass bottle  with white vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk100AnSpWht.gif,5.9,,5.61,True,https://www.bestbottles.com/product/sleek-design-100-ml-glass-bottle-white-vintage-style-bulb-sprayer-shiny-silver-collar-cap,45.0,white,sleek-100ml-white-antiquespray,text-mined,2026-06-24T22:18:29.034Z,
