grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
CPRoll13-415Cu,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_copper_Color_13_415.html
CPRoll20-400TallMattBlk,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_matte_black_Color_20_400.html
CPRoll13-415GlMt,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_matte_gold_Color_13_415.html
CPRoll20-400TallMattGl,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_matte_gold_Color_20_400.html
CPRoll20-400TallMattSl,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_matte_silver_Color_20_400.html
CPRoll13-415SlMt,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_mattr_silver_Color_13_415.html
CPRoll13-415PinkDot,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_pink_dot_Color_13_415.html
CPRoll13-415BlkSh,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_Black_Color_13_415.html
CPRoll20-400TallShnBlk,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_black_Color_20_400.html
CPRoll13-415GlSh,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_gold_Color_13_415.html
CPRoll20-400TallShnGl,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_gold_Color_20_400.html
CPRoll13-415SlSh,13-415,0.0,,24.0,17.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_silver_Color_13_415.html
CPRoll20-400TallShnSl,20-400,0.0,,35.0,23.0,,,https_www_bestbottles_com_product_Caps_lids_top_roll_on_bottle_shiny_silver_Color_20_400.html
CP18-415BlkLthr,18-415,0.0,,30.0,25.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_black_leather_Color_18_415.html
CP18-415BrwnLthr,18-415,0.0,,30.0,25.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_brown_leather_Color_18_415.html
CP18-415LIvyLthr,18-415,0.0,,30.0,25.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_ivory_leather_Color_18_415.html
CP18-415LBrwnLthr,18-415,0.0,,30.0,25.0,,,https_www_bestbottles_com_product_Caps_reducer_lids_top_bottle_light_brown_leather_Color_18_415.html
