body_key,samples,cross_section,height_bare_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,major_axis_mm,body_ratio,dims_confidence,dims_source,notes
sleek-5ml-13-415,30,flat,45.0,57.0,,17.0,17.0,17.0,2.65,high,live bestbottles.com,
sleek-8ml-13-415,30,flat,66.0,78.0,,17.0,17.0,17.0,3.88,high,live bestbottles.com,
slim-100ml-18-415,43,flat,154.0,180.0,37.0,37.0,37.0,37.0,4.16,high,live bestbottles.com,
slim-30ml-18-415,37,flat,87.0,112.0,30.0,30.0,30.0,30.0,2.9,high,live bestbottles.com,
slim-50ml-18-415,43,flat,121.0,143.0,31.0,31.0,31.0,31.0,3.9,high,live bestbottles.com,
sprayer-0ml-13-415,0,round,,32.0,17.0,,,17.0,,none,convex export (no live data),
sprayer-0ml-15-415,5,round,93.8,41.0,20.0,,,20.0,4.69,high,convex export (no live data),
sprayer-0ml-17-415,6,round,93.8,31.0,19.0,,,19.0,4.94,high,convex export (no live data),
sprayer-0ml-18-415,6,round,93.8,36.0,21.0,,,21.0,4.47,low,convex export (no live data),diameter spread 21.0-65.0mm
sprayer-0ml-nofinish,1,round,93.8,74.8,23.7,,,23.7,3.96,low,convex export (no live data),single page
sprayer-5ml-13-415,0,round,,20.0,22.0,,,22.0,,none,convex export (no live data),
square-15ml-13-415,29,flat,52.0,65.0,,26.0,26.0,26.0,2.0,high,live bestbottles.com,
tall-cylinder-9ml-13-415,60,round,106.0,118.0,18.0,,,18.0,5.89,high,live bestbottles.com,
tall-tall-cylinder-9ml-13-415,1,round,106.0,109.0,18.0,,,18.0,5.89,low,convex export (no live data),single page
teardrop-9ml-ground,3,round,43.0,68.0,20.0,,,20.0,2.15,high,convex export (no live data),
teardrop-9ml-ground-glass-neck-with-glass-stopper,3,flat,43.0,68.0,,31.0,,31.0,1.39,high,live bestbottles.com,
tool-0ml-nofinish,3,round,50.8,35.0,25.0,,,25.0,2.03,low,convex export (no live data),bare height spread 50.8-93.8mm
tulip-5ml-13-415,30,round,45.0,57.0,23.0,,,23.0,1.96,high,live bestbottles.com,
tulip-6ml-13-415,30,round,45.0,57.0,23.0,,,23.0,1.96,high,live bestbottles.com,
unknown-0ml-nofinish,1,unknown,102.0,,,,,,,low,convex export (no live data),single page; no diameter or width on any page
vial-1ml-plug,4,round,35.0,44.0,8.0,,,8.0,4.38,high,live bestbottles.com,
vial-2ml-13-425,1,round,22.0,24.0,16.0,,,16.0,1.38,low,live bestbottles.com,single page
vial-2ml-8-425,4,round,35.0,37.0,12.0,,,12.0,2.92,high,live bestbottles.com,
vial-3ml-13-425,2,round,29.0,32.0,14.0,,,14.0,2.07,high,live bestbottles.com,
vial-4ml-13-425,12,round,45.0,47.0,15.0,,,15.0,3.0,high,live bestbottles.com,
vial-9ml-18-400,2,round,79.4,50.0,20.0,,,20.0,3.97,medium,convex export (no live data),
