websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCrcl15RollPinkDot,GB-CIR-CLR-15ML-ROL-PKDT,Circle,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Pink Dotted,Dot Cap,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBCrcl15RollSlDot,GB-CIR-CLR-15ML-ROL-SLDT,Circle,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Silver Dotted,Dot Cap,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBCrcl15RollSlMatt,GB-CIR-CLR-15ML-ROL-MSLV,Circle,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBCrcl15RollSlSh,GB-CIR-CLR-15ML-ROL-SSLV,Circle,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Silver,Roll-On,https://www.bestbottles.com/product/circle-design-15-ml-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBCrcl15Sl,GB-CIR-CLR-15ML-SLV-T,Circle,15.0,13-415,,Glass Bottle,Clear,Silver,Tall,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-silver-cap,False
GBCrcl15SpryBlkMatt,GB-CIR-CLR-15ML-SPR-MBLK,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Black,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-black-spray,False
GBCrcl15SpryBlkSh,GB-CIR-CLR-15ML-SPR-SBLK,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Black,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-black-spray,False
GBCrcl15SpryBluMatt,GB-CIR-CLR-15ML-SPR-MBLU,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Blue,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-blue-spray,False
GBCrcl15SpryCuMatt,GB-CIR-CLR-15ML-SPR-MCPR,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Copper,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-copper-spray,False
GBCrcl15SpryGlMatt,GB-CIR-CLR-15ML-SPR-MGLD,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Gold,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-gold-spray,False
GBCrcl15SpryGlSh,GB-CIR-CLR-15ML-SPR-SGLD,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Gold,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-gold-spray,False
GBCrcl15SprySlMatt,GB-CIR-CLR-15ML-SPR-MSLV,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Silver,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-silver-spray,False
GBCrcl15SprySlSh,GB-CIR-CLR-15ML-SPR-SSLV,Circle,15.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Silver,Spray,https://www.bestbottles.com/product/circle-design-15-ml-bottle-shiny-silver-spray,False
GBCrcl15WhtSht,GB-CIR-WHT-15ML-WHT-S,Circle,15.0,13-415,,Glass Bottle,Clear,White,Short,https://www.bestbottles.com/product/circle-design-15-ml-bottle-short-white-cap,False
