websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCylBlu5SpryBlkSh,GB-CYL-BLU-5ML-SPR-SBLK,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Shiny Black,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-black-spray,False
GBCylBlu5SpryBluMatt,GB-CYL-BLU-5ML-SPR-MBLU,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Matte Blue,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-blue-spray,False
GBCylBlu5SpryCuMatt,GB-CYL-BLU-5ML-SPR-MCPR,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Matte Copper,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-copper-spray,False
GBCylBlu5SpryGlMatt,GB-CYL-BLU-5ML-SPR-MGLD,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Matte Gold,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-gold-spray,False
GBCylBlu5SpryGlSh,GB-CYL-BLU-5ML-SPR-SGLD,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Shiny Gold,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-spray,False
GBCylBlu5SprySlMatt,GB-CYL-BLU-5ML-SPR-MSLV,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Matte Silver,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-matte-silver-spray,False
GBCylBlu5SprySlSh,GB-CYL-BLU-5ML-SPR-SSLV,Cylinder,5.0,13-415,Fine Mist Sprayer,Glass Bottle,Cobalt Blue,Shiny Silver,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-spray,False
GBCylBlu5WhtSht,GB-CYL-CBL-5ML-S-02,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Ribbed White,,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-short-white-cap,False
GBCyl5SpryBlkMatt,GB-CYL-CLR-5ML-SPR-MBLK,Cylinder,5.5,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Black,Spray,https://www.bestbottles.com/product/cylinder-design-5-ml-glass-bottle-matte-black-spray,False
GBTallCyl9BlkShSht,GB-CYL-CLR-9ML-SBLK-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Shiny Black,Short,,False
GBTallCyl9BlkSht,GB-CYL-CLR-9ML-S-02,Cylinder,9.0,13-415,,Glass Bottle,Clear,Short Ribbed Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-black-cap,False
GBTallCyl9CuSht,GB-CYL-CLR-9ML-MCPR-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Matte Copper,Short,,False
GBTallCyl9Gl,GB-CYL-CLR-9ML-GLD-T,Cylinder,9.0,13-415,,Glass Bottle,Clear,Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-gold-cap,False
GBTallCyl9GlMattSht,GB-CYL-CLR-9ML-MGLD-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Matte Gold,Short,,False
GBTallCyl9GlSht,GB-CYL-CLR-9ML-SGLD-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Shiny Gold,Short,,False
GBTallCyl9MtlRollBlkDot,GB-CYL-CLR-9ML-MRL-BKDT-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Black with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBTallCyl9MtlRollBlkSh,GB-CYL-CLR-9ML-MRL-SBLK-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,False
GBTallCyl9MtlRollCuMatt,GB-CYL-CLR-9ML-MRL-MCPR-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Copper,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap,False
GBTallCyl9MtlRollGlMatt,GB-CYL-CLR-9ML-MRL-MGLD-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap,False
GBTallCyl9MtlRollGlSh,GB-CYL-CLR-9ML-MRL-SGLD-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-shiny-gold-cap,False
GBTallCyl9MtlRollPinkDot,GB-CYL-CLR-9ML-MRL-PKDT-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Pink Dotted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots,False
GBTallCyl9MtlRollSlDot,GB-CYL-CLR-9ML-MRL-SLDT-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Silver Dotted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots,False
GBTallCyl9MtlRollSlMatt,GB-CYL-CLR-9ML-MRL-MSLV-03,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap,False
GBTallCyl9MtlRollSlSh,GB-CYL-CLR-9ML-MRL-SSLV-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,False
GBTallCyl9RollBlkDot,GB-CYL-CLR-9ML-ROL-BKDT-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Black with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBTallCyl9RollBlkSh,GB-CYL-CLR-9ML-ROL-SBLK-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap,False
GBTallCyl9RollCuMatt,GB-CYL-CLR-9ML-ROL-MCPR-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Copper,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-matte-copper-cap,False
GBTallCyl9RollGlMatt,GB-CYL-CLR-9ML-ROL-MGLD-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-matte-gold-cap,False
GBTallCyl9RollGlSh,GB-CYL-CLR-9ML-ROL-SGLD-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap,False
GBTallCyl9RollPinkDot,GB-CYL-CLR-9ML-ROL-PKDT-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Pink Dotted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBTallCyl9RollSlDot,GB-CYL-CLR-9ML-ROL-SLDT-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Silver Dotted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBTallCyl9RollSlMatt,GB-CYL-CLR-9ML-ROL-MSLV-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBTallCyl9RollSlSh,GB-CYL-CLR-9ML-ROL-SSLV-02,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBTallCyl9Sl,GB-CYL-CLR-9ML-SLV-T,Cylinder,9.0,13-415,,Glass Bottle,Clear,Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-silver-cap,False
GBTallCyl9SlMattSht,GB-CYL-CLR-9ML-MSLV-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Matte Silver,Short,,False
GBTallCyl9SlSht,GB-CYL-CLR-9ML-SSLV-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Shiny Silver,Short,,False
GBTallCyl9SpryBlkMatt,GB-CYL-CLR-9ML-SPR-MBLK,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-black-spray,False
GBTallCyl9SpryBlkSh,GB-CYL-CLR-9ML-SPR-SBLK,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-black-spray,False
GBTallCyl9SpryBluMatt,GB-CYL-CLR-9ML-SPR-MBLU,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Blue,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-blue-spray,False
GBTallCyl9SpryCuMatt,GB-CYL-CLR-9ML-SPR-MCPR,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Copper,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-copper-spray,False
GBTallCyl9SpryGlMatt,GB-CYL-CLR-9ML-SPR-MGLD,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-gold-spray,False
GBTallCyl9SpryGlSh,GB-CYL-CLR-9ML-SPR-SGLD,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-gold-spray,False
GBTallCyl9SprySlMatt,GB-CYL-CLR-9ML-SPR-MSLV-02,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Matte Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-matte-silver-spray,False
GBTallCyl9SprySlSh,GB-CYL-CLR-9ML-SPR-SSLV-02,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Clear,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-shiny-silver-spray,False
GBTallCyl9WhtSht,GB-CYL-WHT-9ML-WHT-S,Cylinder,9.0,13-415,,Glass Bottle,Clear,Short Ribbed White,Short,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-glass-bottle-short-white-cap,False
GBTallCylFrst9BlkShSht,GB-CYL-FRS-9ML-SBLK-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Shiny Black,Short,,False
GBTallCylFrst9BlkSht,GB-CYL-FRS-9ML-S-01,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Short Ribbed Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-black-cap,False
GBTallCylFrst9CuSht,GB-CYL-FRS-9ML-MCPR-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Matte Copper,Short,,False
GBTallCylFrst9Gl,GB-CYL-FRS-9ML-T-01,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-gold-cap,False
GBTallCylFrst9GlMattSht,GB-CYL-FRS-9ML-MGLD-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Matte Gold,Short,,False
GBTallCylFrst9GlSht,GB-CYL-FRS-9ML-SGLD-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Shiny Gold,Short,,False
GBTallCylFrst9MtlRollBlkDot,GB-CYL-FRS-9ML-T-02,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Black with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBTallCylFrst9MtlRollBlkSh,GB-CYL-FRS-9ML-T-03,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Shiny Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-black-shiny-cap,False
GBTallCylFrst9MtlRollCuMatt,GB-CYL-FRS-9ML-T-04,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Matte Copper,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-matte-copper-cap,False
GBTallCylFrst9MtlRollGlMatt,GB-CYL-FRS-9ML-T-05,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Matte Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-matte-gold-cap,False
GBTallCylFrst9MtlRollGlSh,GB-CYL-FRS-9ML-T-06,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-shiny-gold-cap,False
GBTallCylFrst9MtlRollPinkDot,GB-CYL-FRS-9ML-T-07,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Pink with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots,False
GBTallCylFrst9MtlRollSlDot,GB-CYL-FRS-9ML-T-08,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Silver with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots,False
GBTallCylFrst9MtlRollSlMatt,GB-CYL-FRS-9ML-T-09,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Matte Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-matte-silver-cap,False
GBTallCylFrst9MtlRollSlSh,GB-CYL-FRS-9ML-T-10,Cylinder,9.0,13-415,Metal Roller Ball,Glass Bottle,Frosted,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,False
GBTallCylFrst9RollBlkDot,GB-CYL-FRS-9ML-T-11,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Black with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBTallCylFrst9RollBlkSh,GB-CYL-FRS-9ML-T-12,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Shiny Black,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-black-shiny-cap,False
GBTallCylFrst9RollCuMatt,GB-CYL-FRS-9ML-T-13,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Matte Copper,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-matte-copper-cap,False
GBTallCylFrst9RollGlMatt,GB-CYL-FRS-9ML-T-14,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Matte Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-matte-gold-cap,False
GBTallCylFrst9RollGlSh,GB-CYL-FRS-9ML-T-15,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Shiny Gold,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap,False
GBTallCylFrst9RollPinkDot,GB-CYL-FRS-9ML-T-16,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Pink with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBTallCylFrst9RollSlDot,GB-CYL-FRS-9ML-T-17,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Silver with Dots,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBTallCylFrst9RollSlMatt,GB-CYL-FRS-9ML-T-18,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Matte Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBTallCylFrst9RollSlSh,GB-CYL-FRS-9ML-T-19,Cylinder,9.0,13-415,Plastic Roller Ball,Glass Bottle,Frosted,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBTallCylFrst9Sl,GB-CYL-FRS-9ML-T-20,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Shiny Silver,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-silver-cap,False
GBTallCylFrst9SlMattSht,GB-CYL-FRS-9ML-MSLV-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Matte Silver,Short,,False
GBTallCylFrst9SlSht,GB-CYL-FRS-9ML-SSLV-S,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Shiny Silver,Short,,False
GBTallCylFrst9SpryBlkMatt,GB-CYL-FRS-9ML-01,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-black-spray,False
GBTallCylFrst9SpryBlkSh,GB-CYL-FRS-9ML-02,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-black-spray,False
GBTallCylFrst9SpryBluMatt,GB-CYL-FRS-9ML-03,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-blue-spray,False
GBTallCylFrst9SpryCuMatt,GB-CYL-FRS-9ML-04,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-copper-spray,False
GBTallCylFrst9SpryGlMatt,GB-CYL-FRS-9ML-05,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-gold-spray,False
GBTallCylFrst9SpryGlSh,GB-CYL-FRS-9ML-06,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-gold-spray,False
GBTallCylFrst9SprySlMatt,GB-CYL-FRS-9ML-07,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-matte-silver-spray,False
GBTallCylFrst9SprySlSh,GB-CYL-FRS-9ML-08,Cylinder,9.0,13-415,Fine Mist Sprayer,Glass Bottle,Frosted,Frosted,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-shiny-silver-spray,False
GBTallCylFrst9WhtSht,GB-CYL-FRS-9ML-S-02,Cylinder,9.0,13-415,,Glass Bottle,Frosted,Short Ribbed White,Tall,https://www.bestbottles.com/product/tall-cylinder-design-9-ml-frosted-glass-bottle-short-white-cap,False
GBElg15BlkSht,GB-ELG-CLR-15ML-BLK-S-01,Elegant,15.0,13-415,,Glass Bottle,Clear,Black,Short,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-short-black-cap,False
GBElg15Gl,GB-ELG-CLR-15ML-GLD-T,Elegant,15.0,13-415,,Glass Bottle,Clear,Gold,Tall,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-shiny-gold-cap,False
GBElg15MinarCu,GB-ELG-CLR-15ML-MNR-MCPR,Elegant,15.0,13-415,Cap/Closure,Glass Bottle,Clear,Matte Copper,Minaret,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-matte-copper-minaret-cap,False
GBElg15MtlRollBlkDot,GB-ELG-CLR-15ML-MRL-BKDT,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Black Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBElg15MtlRollBlkSh,GB-ELG-CLR-15ML-MRL-SBLK,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-black-shiny-cap,False
GBElg15MtlRollCuMatt,GB-ELG-CLR-15ML-MRL-MCPR-01,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Copper,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-copper-cap,False
GBElg15MtlRollGlMatt,GB-ELG-CLR-15ML-MRL-MGLD,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Gold,Screw Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-gold-cap,False
GBElg15MtlRollGlSh,GB-ELG-CLR-15ML-MRL-SGLD-01,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-shiny-gold-cap,False
GBElg15MtlRollPinkDot,GB-ELG-CLR-15ML-MRL-PKDT,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Pink Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots,False
GBElg15MtlRollSlDot,GB-ELG-CLR-15ML-MRL-SLDT,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Silver Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots,False
GBElg15MtlRollSlMatt,GB-ELG-CLR-15ML-MRL-MSLV-01,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-matte-silver-cap,False
GBElg15MtlRollSlSh,GB-ELG-CLR-15ML-MRL-SSLV,Elegant,15.0,13-415,Metal Roller Ball,Glass Bottle,Clear,Shiny Silver,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,False
GBElg15RollBlkDot,GB-ELG-CLR-15ML-ROL-BKDT,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Black Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBElg15RollBlkSh,GB-ELG-CLR-15ML-ROL-SBLK,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Black,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-black-shiny-cap,False
GBElg15RollCuMatt,GB-ELG-CLR-15ML-ROL-MCPR,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Copper,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-copper-cap,False
GBElg15RollGlMatt,GB-ELG-CLR-15ML-ROL-MGLD,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Gold,Screw Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-gold-cap,False
GBElg15RollGlSh,GB-ELG-CLR-15ML-ROL-SGLD,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap,False
GBElg15RollPinkDot,GB-ELG-CLR-15ML-ROL-PKDT,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Pink Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBElg15RollSlDot,GB-ELG-CLR-15ML-ROL-SLDT,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Silver Dotted,Dot Cap,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBElg15RollSlMatt,GB-ELG-CLR-15ML-ROL-MSLV,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Matte Silver,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBElg15RollSlSh,GB-ELG-CLR-15ML-ROL-SSLV,Elegant,15.0,13-415,Plastic Roller Ball,Glass Bottle,Clear,Shiny Silver,Roll-On,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBElg15Sl,GB-ELG-CLR-15ML-SLV-T-01,Elegant,15.0,13-415,,Glass Bottle,Clear,Silver,Tall,https://www.bestbottles.com/product/elegant-design-15-ml-glass-bottle-shiny-silver-cap,False
