family,product_group_slug,sku,website_sku,product_media_count,issue,recommended_next_action,convex_image_url,product_media_sample
Rectangle,footed-rectangle-10ml-clear-13-415,GB-RCT-WHT-10ML-WHT-S-01,GBRect10WhtSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBRect10WhtSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-GLD-T-01__GBRect10Gl__pdp-main__v001.png?v=1781251843 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-SLV-T-01__GBRect10Sl__pdp-main__v001.png?v=1781251843
Roll-On Cap,roll-on-fitment-17-415,CMP-ROC-WHT-17415,CpRoll17-415White,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/CpRoll17-415White.gif,
Sleek,sleek-30ml-clear-18-415-dropper,GB-SLK-CLR-30ML-DRP-SLV,GBSlk30DrpSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30DrpSl.gif,
Roll-On Cap,lotion-pump-17-415,CMP-LPM-MSLV-17-415,Ltn17-415MattSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415MattSl.gif,
Sleek,sleek-30ml-clear-18-415-dropper,GB-SLK-CLR-30ML-DRP-GLD,GBSlk30DrpGl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30DrpGl.gif,
Roll-On Cap,lotion-pump-17-415,CMP-LPM-SGLD-17-415,Ltn17-415Gl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Ltn17-415Gl.gif,
Sleek,sleek-30ml-clear-18-415-perfumespray,GB-SLK-CLR-30ML-SPR-CPR,GBSlk30SpryCu,5,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlk30SpryCu.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-30ML-SPR-MGLD.png?v=1781251651 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-30ML-SPR-SGLD.png?v=1781251651 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-30ML-SPR-SBLK.png?v=1781251651 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-30ML-SPR-MSLV.png?v=1781251651 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLK-CLR-30ML-SPR-SSLV.png?v=1781251651
Rectangle,tall-rectangle-10ml-clear-13-415,GB-RCT-WHT-10ML-WHT-S-02,GBTallRect10WhtSht,2,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBTallRect10WhtSht.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-GLD-T-02__GBTallRect10Gl__pdp-main__v001.png?v=1781251847 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-RCT-CLR-10ML-SLV-T-02__GBTallRect10Sl__pdp-main__v001.png?v=1781251847
Slim,slim-30ml-clear-18-415-dropper,GB-SLM-CLR-30ML-DRP-SLV,GBSlm30DrpSl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlm30DrpSl.gif,
Sprayer,fine-mist-sprayer-17-415,CMP-SPR-SGLD-17-415,Spry17-415Gl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/Spry17-415Gl.gif,
Slim,slim-30ml-clear-18-415-perfumespray,GB-SLM-CLR-30ML-SPR-CPR,GBSlm30SpryCu,5,shopify_product_media_present_but_variant_image_missing,"Review product media against reference; assign correct existing media if present, otherwise generate/upload correct variant image.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlm30SpryCu.gif,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLM-CLR-30ML-SPR-SBLK.png?v=1781251674 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLM-CLR-30ML-SPR-MSLV.png?v=1781251677 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLM-CLR-30ML-SPR-SSLV.png?v=1781251677 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLM-CLR-30ML-SPR-SGLD.png?v=1781251674 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-SLM-CLR-30ML-SPR-MGLD.png?v=1781251673
Slim,slim-30ml-clear-18-415-dropper,GB-SLM-CLR-30ML-DRP-GLD,GBSlm30DrpGl,0,no_product_media,"Generate/upload correct product media, assign it to the Shopify variant, then rerun audit.",https://www.bestbottles.com/images/store/enlarged_pics/GBSlm30DrpGl.gif,
