graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
GB-SLK-CLR-8ML-ROL-MSLV,GBSleek8RollSlMatt,BB-GB-008-0019,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-ROL-PKDT,GBSleek8RollPinkDot,BB-GB-008-0017,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-ROL-SBLK,GBSleek8RollBlkSh,BB-GB-008-0013,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-ROL-SGLD,GBSleek8RollGlSh,BB-GB-008-0016,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-ROL-SLDT,GBSleek8RollSlDot,BB-GB-008-0018,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-ROL-SSLV,GBSleek8RollSlSh,BB-GB-008-0020,Sleek,8,66 ±1 mm,62 ±1 mm,17 ±0.5 mm,17,17,88.46,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-S,GBSleek8BlkSht,BB-GB-008-0001,Sleek,8,66 ±1 mm,68 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-SBLK-S,GBSleek8BlkShSht,,Sleek,8,66 ±1 mm,68 ±1 mm,23 ±0.5 mm,,,88.46,false,,legacy-sweep-2026-09-02
GB-SLK-CLR-8ML-SGLD-S,GBSleek8GlSht,,Sleek,8,66 ±1 mm,68 ±1 mm,23 ±0.5 mm,,,88.46,false,,legacy-sweep-2026-09-02
GB-SLK-CLR-8ML-SLV-T,GBSleek8Sl,BB-GB-008-0021,Sleek,8,66 ±1 mm,78 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-CLR-8ML-SPR-MBLK,GBSleek8SpryBlkMatt,BB-GB-008-0022,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-MBLU,GBSleek8SpryBluMatt,BB-GB-008-0024,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-MCPR,GBSleek8SpryCuMatt,BB-GB-008-0025,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-MGLD,GBSleek8SpryGlMatt,BB-GB-008-0026,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-MSLV,GBSleek8SprySlMatt,BB-GB-008-0028,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-SBLK,GBSleek8SpryBlkSh,BB-GB-008-0023,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-SGLD,GBSleek8SpryGlSh,BB-GB-008-0027,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SPR-SSLV,GBSleek8SprySlSh,BB-GB-008-0029,Sleek,8,66 ±1 mm,86 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLK-CLR-8ML-SSLV-S,GBSleek8SlSht,,Sleek,8,66 ±1 mm,68 ±1 mm,23 ±0.5 mm,,,88.46,false,,legacy-sweep-2026-09-02
GB-SLK-WHT-5ML-WHT-S,GBSleek5WhtSht,BB-GB-005-0097,Sleek,5,45 ±0.5 mm,56 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLK-WHT-8ML-WHT-S,GBSleek8WhtSht,BB-GB-008-0030,Sleek,8,66 ±1 mm,68 ±1 mm,17 ±0.5 mm,17,17,88.46,true,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
