graceSku,websiteSku,productId,family,capacityMl,heightWithoutCap,heightWithCap,diameter,widthMm,depthMm,bottleWeightG,verified,measurementSource,importSource
GB-SLM-CLR-30ML-RDC-IVLT,GBSlm30RdcrIvyLthr,BB-GB-030-0139,Slim,30,87 ±1 mm,101 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-30ML-RDC-LBLT,GBSlm30RdcrLBrwnLthr,BB-GB-030-0140,Slim,30,87 ±1 mm,101 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-30ML-RDC-MSLV,GBSlm30RdcrMtSl,BB-GB-030-0141,Slim,30,87 ±1 mm,91 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-MSLV-T,GBSlm30RdcrMtSlTall,BB-GB-030-0142,Slim,30,87 ±1 mm,98 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-PKLT,GBSlm30RdcrPnkLthr,BB-GB-030-0143,Slim,30,87 ±1 mm,101 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-SBLK,GBSlm30RdcrShnBlk,BB-GB-030-0144,Slim,30,87 ±1 mm,91 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-SBLK-T,GBSlm30RdcrShnBlkTall,BB-GB-030-0145,Slim,30,87 ±1 mm,98 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-SGLD,GBSlm30RdcrShnGl,BB-GB-030-0146,Slim,30,87 ±1 mm,91 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-SSLV,GBSlm30RdcrShnSl,BB-GB-030-0147,Slim,30,87 ±1 mm,91 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-RDC-WHT,GBSlm30RdcrWht,BB-GB-030-0148,Slim,30,87 ±1 mm,98 ±1 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
GB-SLM-CLR-30ML-SPR-CPR,GBSlm30SpryCu,BB-GB-030-0149,Slim,30,87 ±1 mm,112 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,case_weight_corrections_20260423
GB-SLM-CLR-30ML-SPR-MGLD,GBSlm30SpryMtGl,BB-GB-030-0150,Slim,30,87 ±1 mm,112 ±2 mm,30 ±0.5 mm,30,30,80,false,best-bottles-master-truth@2026-07-12:f2b25bbe4ffe,grace_products_final_json
