family,sku,capacityMl,color,applicator,slots,issues,builderStatus
Cylinder,GBCyl25AnSpGl,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBCyl25AnSpTslIvySl,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBCyl25AnSpTslMtSl,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBCyl25AnSpTslRed,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBCyl25AnSpTslWht,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBCyl25DrpCu,25,Clear,Dropper,body; pipette,,compatibility_unresolved
Cylinder,GBCyl25DrpGl,25,Clear,Dropper,body; pipette,,compatibility_unresolved
Cylinder,GBCyl25DrpSl,25,Clear,Dropper,body; pipette,,compatibility_unresolved
Cylinder,GBCyl25RdcrIvyLthr,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBCyl25RdcrShnGl,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25AnSpIvyGl,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpIvySl,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpLvn,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpMtSl,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpPnk,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpRed,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpTslBlk,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpTslGl,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpTslIvyGl,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpTslLvn,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpTslPnk,25,Clear,Vintage Bulb Sprayer with Tassel,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25AnSpWht,25,Clear,Vintage Bulb Sprayer,diptube; body; sprayer,,compatibility_unresolved
Cylinder,GBcyl25RdcrBlkLthr,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrBrwnLthr,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrLBrwnLthr,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrMtSl,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrMtSlTall,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrPnkLthr,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrShnBlk,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrShnBlkTall,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrShnSl,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25RdcrWht,25,Clear,Reducer,body; fitment,partial_separation,compatibility_unresolved
Cylinder,GBcyl25SpryCu,25,Clear,Fine Mist Sprayer,diptube; body; sprayer; overcap,,compatibility_unresolved
Cylinder,GBcyl25SpryMtGl,25,Clear,Fine Mist Sprayer,diptube; body; overcap,,compatibility_unresolved
Cylinder,GBcyl25SpryShnGl,25,Clear,Fine Mist Sprayer,diptube; body; overcap,,compatibility_unresolved
Cylinder,GBcyl25SpryShnSl,25,Clear,Fine Mist Sprayer,diptube; body; overcap,,compatibility_unresolved
Circle,GBCrcl100RdcrShnBlk,100,Clear,Reducer,body; cap,,compatibility_unresolved
Circle,GBCrclFrst100RdcrShnBlk,100,Frosted,Reducer,body; cap,,compatibility_unresolved
Circle,GBCrclFrst50SpryMtGl,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrclFrst50SpryShnGl,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrclFrst50SpryShnBlk,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrclFrst50SpryMtSl,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrcl15SpryBlkMatt,15,Clear,Fine Mist Sprayer,,no_served_kit,listed
Circle,GBCrclFrst50SpryShnSl,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrclFrst50SpryCu,50,Frosted,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrclFrst50DrpSl,50,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Circle,GBCrclFrst50DrpGl,50,Frosted,Dropper,,no_served_kit,compatibility_unresolved
Circle,GBCrcl100SpryCu,100,Clear,Perfume Spray Pump,,no_served_kit,listed
Circle,GBCrcl100AnSpTslBlk,100,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrclFrst100AnSpTslBlk,100,Frosted,Vintage Bulb Sprayer,body; sprayer,not_in_filtered_pdp,listed
Circle,GBCrcl100AnSpTslPnk,100,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl100AnSpTslIvySl,100,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl100AnSpTslRed,100,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl100AnSpTslWht,100,Clear,Vintage Bulb Sprayer with Tassel,,no_served_kit,listed
Circle,GBCrcl15RollBlkDot,15,Clear,Plastic Roller Ball,,no_served_kit,listed
Circle,GBCrclFrst100AnSpTslIvySl,100,Frosted,Vintage Bulb Sprayer,sprayer; body,not_in_filtered_pdp,listed
Circle,GBCrclFrst100AnSpTslLvn,100,Frosted,Vintage Bulb Sprayer,sprayer; body,not_in_filtered_pdp,listed
Circle,GBCrclFrst100AnSpTslPnk,100,Frosted,Vintage Bulb Sprayer,sprayer; body,not_in_filtered_pdp,listed
Circle,GBCrclFrst100AnSpTslRed,100,Frosted,Vintage Bulb Sprayer,,not_in_filtered_pdp; no_served_kit,listed
Circle,GBCrclFrst100AnSpTslWht,100,Frosted,Vintage Bulb Sprayer,sprayer; body,not_in_filtered_pdp,listed
Circle,LBCrclFrst50LtnMtGl,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,GBCrcl50RdcrShnBlk,50,Clear,Reducer,body; cap,,compatibility_unresolved
Circle,LBCrclFrst50LtnShnGl,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,LBCrclFrst50LtnShnBlk,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,LBCrclFrst50LtnMtSl,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,LBCrclFrst50LtnShnSl,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,LBCrclFrst50LtnCu,50,Frosted,Lotion Pump,,no_served_kit,listed
Circle,GBCrcl50RdcrMtSl,50,Clear,Reducer,,no_served_kit,listed
Circle,GBCrcl15MtlRollBlkDot,15,Clear,Metal Roller Ball,,no_served_kit,listed
Circle,GBCrclFrst50RdcrShnBlk,50,Frosted,Reducer,body; cap,,compatibility_unresolved
