bodyId,glass,family,shape,capacityMl,neck,category,assemblies,heightBareMm,diameterMm,widthMm,dimsConfidence,psdCount,uncappedCount,source,plan
round-128ml-18-415,Frosted,Round,,128,18-415,Glass Bottle,46,83.0,69.0,69.0,verified,62,10,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/10. 128ml Round Frst, Ltn & Spry capped/11. GBRndFrst128SpryMtGl.psd",own photo
round-78ml-18-415,Clear,Round,,78,18-415,Glass Bottle,43,73.0,59.0,59.0,high,70,14,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/9.  78ml Round, Ltn & Spry, capped/11. GBRnd78SpryMtGl.psd",own photo
round-78ml-18-415,Frosted,Round,,78,18-415,Glass Bottle,43,73.0,59.0,59.0,high,69,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/8.  78 Round Frosted, Spry & Ltn, capped/11. GBRndFrst78SpryMtGl.psd",own photo
royal-13ml-13-415,Clear,Royal,,13,13-415,Glass Bottle,29,56.0,40.0,43.7,high,83,0,5.  13-415 Bottles/10. Royal 13ml/1. Royal 13ml (Unapped) PSD /1. GBRoyal13BlkSht.psd,own photo
royal-14ml-11mm,Clear,Royal,,14,11mm,Glass Bottle,1,64.0,32.0,43.7,low,1,0,18. Perfume Glass Bottles with Metal Decoration/GBMtlCylGl.psd,own photo
sleek-100ml-18-415,Clear,Sleek,,100,18-415,Glass Bottle,44,149.0,36.0,36.0,high,72,14,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/13. 100ml Sleek, Ltn & Spry capped/11. GBSlk100SpryMtGl.psd",own photo
sleek-30ml-18-415,Clear,Sleek,,30,18-415,Glass Bottle,38,98.0,28.0,28.0,high,66,14,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/11. 30ml  Slk, Ltn & Spry, capped/11. GBSlk30SpryMtGl.psd",own photo
sleek-50ml-18-415,Clear,Sleek,,50,18-415,Glass Bottle,44,139.0,28.0,28.0,high,72,14,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/12. 50ml Slk, Ltn & Spry, capped/11. GBSlk50SpryMtGl.psd",own photo
sleek-5ml-13-415,Clear,Sleek,,5,13-415,Glass Bottle,30,45.0,17.0,17.0,high,90,30,5.  13-415 Bottles/5. Sleek 5ml/1. Sleek 5ml PSD (Uncapped) /1. GBSleek5BlkSht.psd,own photo
sleek-8ml-13-415,Clear,Sleek,,8,13-415,Glass Bottle,30,66.0,17.0,17.0,high,90,30,5.  13-415 Bottles/6. Sleek 8ml/1. Sleek 8ml (Uncapped) PSD /1. GBSleek8BlkSht.psd,own photo
slim-100ml-18-415,Clear,Slim,,100,18-415,Glass Bottle,43,154.0,37.0,37.0,high,67,12,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/16.  100 Slim, Ltn & Spry, capped/11. GBSlm100SpryMtGl.psd",own photo
slim-30ml-18-415,Clear,Slim,,30,18-415,Glass Bottle,37,87.0,30.0,30.0,high,61,12,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/14.  30 Slim, Ltn & Spry, capped/11. GBSlm30SpryMtGl.psd",own photo
slim-50ml-18-415,Clear,Slim,,50,18-415,Glass Bottle,43,121.0,31.0,31.0,high,68,13,"2.  18-415 Bottles /31. Capped & Uncapped, 18-415 Lotion and Sprayers/Capped/15.  50 Slim, Ltn & Spry, capped/11. GBSlm50SpryMtGl.psd",own photo
square-15ml-13-415,Clear,Square,,15,13-415,Glass Bottle,29,52.0,26.0,26.0,high,84,28,5.  13-415 Bottles/12. Square 15ml/1. Square 15ml (Uncapped) PSD /10. GBSqr15MtlRollSlDot.psd,own photo
teardrop-9ml-Ground,Clear,Teardrop,,9,Ground,Glass Bottle,1,43.0,20.0,20.0,convex-only,1,0,17. Additional Bottles/GBTRDPClear.psd,own photo
teardrop-9ml-Ground,Cobalt Blue,Teardrop,,9,Ground,Glass Bottle,1,43.0,20.0,20.0,convex-only,1,0,17. Additional Bottles/GBTrdpBlue.psd,own photo
teardrop-9ml-Ground,Green,Teardrop,,9,Ground,Glass Bottle,1,43.0,20.0,20.0,convex-only,1,0,17. Additional Bottles/GBTRDPGreen.psd,own photo
tola-decorative-3ml-14.3mm,Clear,Decorative,Tola,3,14.3mm,Glass Bottle,1,42.0,18.0,18.0,convex-only,1,0,16. 14.3mm/New Folder With Items/GB3TPlGl.psd,own photo
tola-decorative-6ml-14.3mm,Clear,Decorative,Tola,6,14.3mm,Glass Bottle,1,48.0,22.0,22.0,convex-only,1,0,16. 14.3mm/New Folder With Items/GB6TPlGl.psd,own photo
tulip-5ml-13-415,Amber,Tulip,,5,13-415,Glass Bottle,30,45.0,23.0,23.0,high,90,30,5.  13-415 Bottles/4. Tulip 5ml Amber/1. Tulip 5 Amber (Uncapped) PSD /1. GBTulipAmb5BlkSht.psd,own photo
tulip-6ml-13-415,Clear,Tulip,,6,13-415,Glass Bottle,30,45.0,23.0,23.0,high,87,29,5.  13-415 Bottles/19. Tulip 6ml Clear/1. Tulip 6ml (Uncapped) PSD /1. GBTulip6BlkSht.psd,own photo
vial-1ml-Plug,Amber,Vial,,1,Plug,Glass Bottle,2,35.0,8.0,8.0,convex-only,4,2,12. Vials/2. 1ml Amber PSD Uncapped/1. GB1mlAmbVBlk.psd,own photo
vial-1ml-Plug,Clear,Vial,,1,Plug,Glass Bottle,2,35.0,8.0,8.0,convex-only,3,1,12. Vials/4. 1ml Clear PSD Uncapped/1. GB1mlVBlk.psd,own photo
vial-2ml-13-425,Amber,Vial,Vial,2,13-425,Glass Bottle,1,22.0,16.0,16.0,low,2,1,5.  13-415 Bottles/22. GB 1o5 Amber/2.  Amber 1o5  Uncapped/2. GBVialAmb1o5WhtCapSht.psd,own photo
vial-2ml-8-425,Amber,Vial,,2,8-425,Glass Bottle,2,35.0,12.0,12.0,high,5,2,12. Vials/0. All Vials/Uncapped/GBVAmb2BlackCap.psd,own photo
vial-2ml-8-425,Clear,Vial,,2,8-425,Glass Bottle,2,35.0,12.0,12.0,high,2,0,6.   8-425 Bottles - CB/2. 2ml Dram/1.  Clear 2ml Dram/1. GBVialClr2mlBlackCap.psd,own photo
vial-3ml-13-425,Blue,Vial,,3,13-425,Glass Bottle,1,29.0,14.0,14.0,high,0,0,,no source photo
vial-3ml-13-425,Green,Vial,,3,13-425,Glass Bottle,2,29.0,14.0,14.0,high,0,0,,no source photo
vial-4ml-13-425,Amber,Vial,,4,13-425,Glass Bottle,3,45.0,15.0,15.0,high,4,2,12. Vials/0. All Vials/Uncapped/GBVAmb1DrmBlackCapSht.psd,own photo
vial-4ml-13-425,Blue,Vial,,4,13-425,Glass Bottle,3,45.0,15.0,15.0,high,4,2,12. Vials/0. All Vials/Uncapped/GBVBlu1DrmBlackCapSht.psd,own photo
vial-4ml-13-425,Clear,Vial,,4,13-425,Glass Bottle,3,45.0,15.0,15.0,high,1,0,12. Vials/0. All Vials/Capped/GBV1DrmBlkDropper.psd,own photo
vial-4ml-13-425,Green,Vial,,4,13-425,Glass Bottle,3,45.0,15.0,15.0,high,6,3,12. Vials/0. All Vials/Uncapped/GBVGr1DrmBlackCapSht.psd,own photo
vial-9ml-18-400,Clear,Vial,,9,18-400,Glass Bottle,2,79.4,20.0,20.0,medium,3,1,12. Vials/0. All Vials/Uncapped/GB09BlackCapApp.psd,own photo
